gi|492677625|ref|WP_005920071.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699383|ref|WP_005926889.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699386|ref|WP_005926891.1|	phosphoglucomutase [Faecalibacterium prausnitzii] 
gi|492699389|ref|WP_005926893.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699392|ref|WP_005926895.1|	Mg chelatase [Faecalibacterium prausnitzii] 
gi|492699396|ref|WP_005926897.1|	peptidase [Faecalibacterium prausnitzii] 
gi|492699402|ref|WP_005926901.1|	GNAT family acetyltransferase [Faecalibacterium prausnitzii] 
gi|492699406|ref|WP_005926904.1|	AraC family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492699411|ref|WP_005926907.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699417|ref|WP_005926911.1|	beta-galactosidase [Faecalibacterium prausnitzii] 
gi|492699422|ref|WP_005926914.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699427|ref|WP_005926917.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699433|ref|WP_005926920.1|	transporter [Faecalibacterium prausnitzii] 
gi|492699439|ref|WP_005926924.1|	ABC transporter [Faecalibacterium prausnitzii] 
gi|492699442|ref|WP_005926926.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492699446|ref|WP_005926929.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699450|ref|WP_005926931.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699455|ref|WP_005926934.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699459|ref|WP_005926937.1|	AraC family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492699462|ref|WP_005926939.1|	mucin desulfatase [Faecalibacterium prausnitzii] 
gi|492699467|ref|WP_005926942.1|	XRE family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492699472|ref|WP_005926945.1|	histidine kinase [Faecalibacterium prausnitzii] 
gi|492699477|ref|WP_005926948.1|	potassium transporter TrkA [Faecalibacterium prausnitzii] 
gi|492699482|ref|WP_005926951.1|	potassium transporter TrkH [Faecalibacterium prausnitzii] 
gi|492699487|ref|WP_005926954.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699493|ref|WP_005926957.1|	transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492699498|ref|WP_005926960.1|	NADPH-dependent FMN reductase [Faecalibacterium prausnitzii] 
gi|492699504|ref|WP_005926964.1|	NADH-dependent butanol dehydrogenase [Faecalibacterium prausnitzii] 
gi|492699507|ref|WP_005926966.1|	oxidoreductase [Faecalibacterium prausnitzii] 
gi|492699509|ref|WP_005926967.1|	alpha/beta hydrolase [Faecalibacterium prausnitzii] 
gi|492699513|ref|WP_005926969.1|	flavodoxin [Faecalibacterium prausnitzii] 
gi|492699516|ref|WP_005926971.1|	NADPH-dependent FMN reductase [Faecalibacterium prausnitzii] 
gi|492699519|ref|WP_005926973.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699522|ref|WP_005926975.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699525|ref|WP_005926977.1|	dienelactone hydrolase [Faecalibacterium prausnitzii] 
gi|492699528|ref|WP_005926979.1|	acetyl esterase [Faecalibacterium prausnitzii] 
gi|492699531|ref|WP_005926981.1|	aldehyde oxidase [Faecalibacterium prausnitzii] 
gi|492699537|ref|WP_005926984.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699540|ref|WP_005926986.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492699545|ref|WP_005926989.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699549|ref|WP_005926992.1|	RNA polymerase subunit sigma [Faecalibacterium prausnitzii] 
gi|492699553|ref|WP_005926995.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699558|ref|WP_005926998.1|	toxin MazF [Faecalibacterium prausnitzii] 
gi|492699563|ref|WP_005927001.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699569|ref|WP_005927005.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492699574|ref|WP_005927008.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699579|ref|WP_005927011.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492699584|ref|WP_005927014.1|	resolvase [Faecalibacterium prausnitzii] 
gi|492699588|ref|WP_005927017.1|	pleiotrophic regulatory protein [Faecalibacterium prausnitzii] 
gi|492699593|ref|WP_005927020.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699596|ref|WP_005927022.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699599|ref|WP_005927024.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699603|ref|WP_005927026.1|	type I deoxyribonuclease HsdR [Faecalibacterium prausnitzii] 
gi|492699606|ref|WP_005927028.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699609|ref|WP_005927030.1|	type I restriction endonuclease subunit S [Faecalibacterium prausnitzii] 
gi|492699613|ref|WP_005927032.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699616|ref|WP_005927034.1|	integrase [Faecalibacterium prausnitzii] 
gi|492699620|ref|WP_005927036.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699625|ref|WP_005927039.1|	DNA methyltransferase [Faecalibacterium prausnitzii] 
gi|492699630|ref|WP_005927042.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699635|ref|WP_005927045.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699638|ref|WP_005927047.1|	mobilization protein [Faecalibacterium prausnitzii] 
gi|492699643|ref|WP_005927050.1|	relaxase [Faecalibacterium prausnitzii] 
gi|492699646|ref|WP_005927052.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699650|ref|WP_005927055.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684781|ref|WP_005922200.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684783|ref|WP_005922202.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492684785|ref|WP_005922204.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699655|ref|WP_005927058.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492699659|ref|WP_005927061.1|	3-phosphoglycerate dehydrogenase [Faecalibacterium prausnitzii] 
gi|492699664|ref|WP_005927064.1|	MFS transporter [Faecalibacterium prausnitzii] 
gi|492699668|ref|WP_005927067.1|	CopY family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492699674|ref|WP_005927070.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699678|ref|WP_005927073.1|	citrate synthase [Faecalibacterium prausnitzii] 
gi|492699682|ref|WP_005927075.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699687|ref|WP_005927078.1|	metallo-beta-lactamase [Faecalibacterium prausnitzii] 
gi|492699693|ref|WP_005927081.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699698|ref|WP_005927084.1|	cell division protein FtsK [Faecalibacterium prausnitzii] 
gi|492699703|ref|WP_005927087.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699708|ref|WP_005927090.1|	REX family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492699712|ref|WP_005927093.1|	thymidine kinase [Faecalibacterium prausnitzii] 
gi|492699717|ref|WP_005927096.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699722|ref|WP_005927099.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699726|ref|WP_005927102.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492699731|ref|WP_005927105.1|	sugar ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492699734|ref|WP_005927107.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699739|ref|WP_005927110.1|	polygalacturonase [Faecalibacterium prausnitzii] 
gi|492699743|ref|WP_005927113.1|	glycosyl hydrolase family 88 [Faecalibacterium prausnitzii] 
gi|492699748|ref|WP_005927116.1|	peptidase M23 [Faecalibacterium prausnitzii] 
gi|492699751|ref|WP_005927118.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699754|ref|WP_005927120.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699757|ref|WP_005927122.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699761|ref|WP_005927124.1|	FAD-dependent oxidoreductase [Faecalibacterium prausnitzii] 
gi|492699764|ref|WP_005927126.1|	cytidylate kinase [Faecalibacterium prausnitzii] 
gi|492699770|ref|WP_005927129.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699775|ref|WP_005927132.1|	4-hydroxy-3-methylbut-2-enyl diphosphate reductase [Faecalibacterium prausnitzii] 
gi|492699780|ref|WP_005927135.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699784|ref|WP_005927138.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699790|ref|WP_005927141.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699795|ref|WP_005927144.1|	deoxyribose-phosphate aldolase [Faecalibacterium prausnitzii] 
gi|492699800|ref|WP_005927147.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699804|ref|WP_005927150.1|	diguanylate cyclase [Faecalibacterium prausnitzii] 
gi|492699808|ref|WP_005927152.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699813|ref|WP_005927155.1|	S-adenosylmethionine synthetase [Faecalibacterium prausnitzii] 
gi|492699817|ref|WP_005927158.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699821|ref|WP_005927161.1|	phosphoribosylpyrophosphate synthetase [Faecalibacterium prausnitzii] 
gi|492699825|ref|WP_005927163.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699830|ref|WP_005927166.1|	macrolide ABC transporter ATP-binding protein [Faecalibacterium prausnitzii] 
gi|492699836|ref|WP_005927169.1|	ABC transporter permease [Faecalibacterium prausnitzii] 
gi|492699842|ref|WP_005927172.1|	adenine permease [Faecalibacterium prausnitzii] 
gi|492699847|ref|WP_005927175.1|	peptidase M16 [Faecalibacterium prausnitzii] 
gi|492699851|ref|WP_005927178.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699857|ref|WP_005927181.1|	beta-methylgalactoside transporter [Faecalibacterium prausnitzii] 
gi|492699861|ref|WP_005927183.1|	D-ribose transporter ATP binding protein [Faecalibacterium prausnitzii] 
gi|492699865|ref|WP_005927185.1|	LacI family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492699870|ref|WP_005927188.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699873|ref|WP_005927190.1|	chemotaxis protein [Faecalibacterium prausnitzii] 
gi|492699878|ref|WP_005927193.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699882|ref|WP_005927196.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699885|ref|WP_005927198.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699888|ref|WP_005927200.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699893|ref|WP_005927203.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699899|ref|WP_005927206.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699902|ref|WP_005927209.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699907|ref|WP_005927212.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699913|ref|WP_005927215.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699918|ref|WP_005927218.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699923|ref|WP_005927221.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699928|ref|WP_005927224.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699933|ref|WP_005927227.1|	metallophosphoesterase [Faecalibacterium prausnitzii] 
gi|492699939|ref|WP_005927231.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699945|ref|WP_005927234.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699949|ref|WP_005927237.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699955|ref|WP_005927240.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699961|ref|WP_005927243.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699966|ref|WP_005927246.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699971|ref|WP_005927249.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699977|ref|WP_005927253.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699981|ref|WP_005927256.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699986|ref|WP_005927259.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699990|ref|WP_005927262.1|	recombinase [Faecalibacterium prausnitzii] 
gi|492699993|ref|WP_005927264.1|	helicase [Faecalibacterium prausnitzii] 
gi|492699996|ref|WP_005927266.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492699999|ref|WP_005927268.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700002|ref|WP_005927270.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700005|ref|WP_005927272.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700008|ref|WP_005927274.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700011|ref|WP_005927276.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700014|ref|WP_005927278.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700019|ref|WP_005927281.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700024|ref|WP_005927284.1|	capsular polysaccharide biosynthesis protein [Faecalibacterium prausnitzii] 
gi|492700028|ref|WP_005927286.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700033|ref|WP_005927289.1|	capsular polysaccharide biosynthesis protein Cap8F [Faecalibacterium prausnitzii] 
gi|492700037|ref|WP_005927292.1|	UDP-N-acetylglucosamine 2-epimerase [Faecalibacterium prausnitzii] 
gi|492700040|ref|WP_005927294.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700044|ref|WP_005927297.1|	UDP-glucose dehydrogenase [Faecalibacterium prausnitzii] 
gi|492700047|ref|WP_005927299.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700052|ref|WP_005927302.1|	phosphoglucosamine mutase [Faecalibacterium prausnitzii] 
gi|492700055|ref|WP_005927304.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700058|ref|WP_005927306.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700063|ref|WP_005927309.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700068|ref|WP_005927312.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700073|ref|WP_005927315.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700078|ref|WP_005927318.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700083|ref|WP_005927321.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700089|ref|WP_005927324.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700095|ref|WP_005927327.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700100|ref|WP_005927330.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700104|ref|WP_005927333.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700110|ref|WP_005927337.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700114|ref|WP_005927340.1|	RNA polymerase subunit sigma [Faecalibacterium prausnitzii] 
gi|492700117|ref|WP_005927342.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700122|ref|WP_005927345.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700128|ref|WP_005927349.1|	toxin MazF [Faecalibacterium prausnitzii] 
gi|492700134|ref|WP_005927352.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700139|ref|WP_005927355.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700143|ref|WP_005927358.1|	integrase [Faecalibacterium prausnitzii] 
gi|492700148|ref|WP_005927361.1|	sporulation protein SpoIID [Faecalibacterium prausnitzii] 
gi|492700153|ref|WP_005927364.1|	glycosyltransferase family 2 [Faecalibacterium prausnitzii] 
gi|492700158|ref|WP_005927367.1|	glycosyltransferase family 2 [Faecalibacterium prausnitzii] 
gi|492700163|ref|WP_005927370.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700168|ref|WP_005927373.1|	glucose-1-phosphate thymidylyltransferase [Faecalibacterium prausnitzii] 
gi|492700172|ref|WP_005927376.1|	dTDP-4-dehydrorhamnose reductase [Faecalibacterium prausnitzii] 
gi|492700174|ref|WP_005927377.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700177|ref|WP_005927379.1|	dTDP-glucose 4,6-dehydratase [Faecalibacterium prausnitzii] 
gi|492700180|ref|WP_005927381.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700183|ref|WP_005927383.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700186|ref|WP_005927385.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700192|ref|WP_005927389.1|	iron transporter FeoA [Faecalibacterium prausnitzii] 
gi|492700197|ref|WP_005927392.1|	iron transporter FeoA [Faecalibacterium prausnitzii] 
gi|492700202|ref|WP_005927395.1|	iron transporter FeoB [Faecalibacterium prausnitzii] 
gi|492700208|ref|WP_005927399.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700214|ref|WP_005927402.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700219|ref|WP_005927405.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700230|ref|WP_005927412.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700234|ref|WP_005927414.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700237|ref|WP_005927416.1|	(4Fe-4S)-binding protein [Faecalibacterium prausnitzii] 
gi|492700241|ref|WP_005927418.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700244|ref|WP_005927420.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700247|ref|WP_005927422.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700251|ref|WP_005927425.1|	1,4-alpha-glucan branching protein [Faecalibacterium prausnitzii] 
gi|492700256|ref|WP_005927428.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700260|ref|WP_005927431.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700266|ref|WP_005927435.1|	DNA-binding protein [Faecalibacterium prausnitzii] 
gi|492700271|ref|WP_005927438.1|	TetR family transcriptional regulator [Faecalibacterium prausnitzii] 
gi|492700276|ref|WP_005927441.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700280|ref|WP_005927444.1|	diguanylate cyclase [Faecalibacterium prausnitzii] 
gi|492700285|ref|WP_005927447.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700288|ref|WP_005927449.1|	oxidoreductase [Faecalibacterium prausnitzii] 
gi|492700295|ref|WP_005927453.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700301|ref|WP_005927457.1|	amino acid lyase [Faecalibacterium prausnitzii] 
gi|492700305|ref|WP_005927460.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700310|ref|WP_005927463.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700314|ref|WP_005927466.1|	hypothetical protein [Faecalibacterium prausnitzii] 
gi|492700317|ref|WP_005927468.1|	hypothetical protein [Faecalibacterium prausnitzii] 
