gi|493470989|ref|WP_006426059.1|	hypothetical protein partial [Dorea longicatena] 
gi|493473681|ref|WP_006428698.1|	MULTISPECIES: pantothenate kinase [Dorea] 
gi|493473682|ref|WP_006428699.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473683|ref|WP_006428700.1|	biotin--acetyl-CoA-carboxylase ligase [Dorea longicatena] 
gi|493473684|ref|WP_006428701.1|	ornithine carbamoyltransferase [Dorea longicatena] 
gi|493473685|ref|WP_006428702.1|	peptidase [Dorea longicatena] 
gi|493473686|ref|WP_006428703.1|	membrane protein [Dorea longicatena] 
gi|493473687|ref|WP_006428704.1|	RNA methyltransferase [Dorea longicatena] 
gi|493473688|ref|WP_006428705.1|	MULTISPECIES: transcriptional regulator [Dorea] 
gi|493473689|ref|WP_006428706.1|	histidine kinase [Dorea longicatena] 
gi|493473690|ref|WP_006428707.1|	S-adenosylmethionine synthetase [Dorea longicatena] 
gi|493473691|ref|WP_006428708.1|	hypothetical protein [Dorea longicatena] 
gi|493473692|ref|WP_006428709.1|	MULTISPECIES: UDP-N-acetylglucosamine 1-carboxyvinyltransferase [Dorea] 
gi|493473693|ref|WP_006428710.1|	shikimate kinase [Dorea longicatena] 
gi|493473694|ref|WP_006428711.1|	hypothetical protein [Dorea longicatena] 
gi|493473695|ref|WP_006428712.1|	sucrose-6-phosphate hydrolase [Dorea longicatena] 
gi|493473696|ref|WP_006428713.1|	sugar ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493473697|ref|WP_006428714.1|	MULTISPECIES: ABC transporter permease [Dorea] 
gi|493473698|ref|WP_006428715.1|	MULTISPECIES: ABC transporter permease [Dorea] 
gi|493473699|ref|WP_006428716.1|	ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493473700|ref|WP_006428717.1|	MULTISPECIES: ribose operon repressor [Dorea] 
gi|493473701|ref|WP_006428718.1|	hypothetical protein [Dorea longicatena] 
gi|493473702|ref|WP_006428719.1|	hypothetical protein [Dorea longicatena] 
gi|493473703|ref|WP_006428720.1|	hypothetical protein [Dorea longicatena] 
gi|493473704|ref|WP_006428721.1|	hypothetical protein [Dorea longicatena] 
gi|493473705|ref|WP_006428722.1|	PadR family transcriptional regulator [Dorea longicatena] 
gi|493473706|ref|WP_006428723.1|	V-type ATP synthase subunit D [Dorea longicatena] 
gi|493473707|ref|WP_006428724.1|	V-type ATP synthase subunit B [Dorea longicatena] 
gi|493473708|ref|WP_006428725.1|	V-type ATP synthase subunit A [Dorea longicatena] 
gi|493473709|ref|WP_006428726.1|	MULTISPECIES: V-type ATP synthase subunit F [Dorea] 
gi|493473710|ref|WP_006428727.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473711|ref|WP_006428728.1|	hypothetical protein [Dorea longicatena] 
gi|493473712|ref|WP_006428729.1|	MULTISPECIES: V-type ATP synthase subunit K [Dorea] 
gi|493473713|ref|WP_006428730.1|	hypothetical protein [Dorea longicatena] 
gi|493473714|ref|WP_006428731.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473715|ref|WP_006428732.1|	MULTISPECIES: tRNA methyltransferase [Dorea] 
gi|493473716|ref|WP_006428733.1|	hypothetical protein [Dorea longicatena] 
gi|493473717|ref|WP_006428734.1|	hypothetical protein [Dorea longicatena] 
gi|493473718|ref|WP_006428735.1|	hypothetical protein [Dorea longicatena] 
gi|493473719|ref|WP_006428736.1|	thioredoxin reductase [Dorea longicatena] 
gi|493473720|ref|WP_006428737.1|	1-deoxy-D-xylulose-5-phosphate synthase [Dorea longicatena] 
gi|493473721|ref|WP_006428738.1|	transcriptional regulator [Dorea longicatena] 
gi|493473722|ref|WP_006428739.1|	aminotransferase [Dorea longicatena] 
gi|493473723|ref|WP_006428740.1|	AsnC family transcriptional regulator [Dorea longicatena] 
gi|493473724|ref|WP_006428741.1|	hypothetical protein [Dorea longicatena] 
gi|493473725|ref|WP_006428742.1|	MULTISPECIES: endonuclease III [Dorea] 
gi|493473726|ref|WP_006428743.1|	radical SAM protein [Dorea longicatena] 
gi|493473727|ref|WP_006428744.1|	hypothetical protein [Dorea longicatena] 
gi|493473728|ref|WP_006428745.1|	hypothetical protein [Dorea longicatena] 
gi|493473729|ref|WP_006428746.1|	hypothetical protein [Dorea longicatena] 
gi|493473730|ref|WP_006428747.1|	adenosine deaminase [Dorea longicatena] 
gi|493473731|ref|WP_006428748.1|	hypothetical protein [Dorea longicatena] 
gi|493473732|ref|WP_006428749.1|	deoxyguanosinetriphosphate triphosphohydrolase [Dorea longicatena] 
gi|493473733|ref|WP_006428750.1|	hypothetical protein [Dorea longicatena] 
gi|493473734|ref|WP_006428751.1|	hypothetical protein [Dorea longicatena] 
gi|493473735|ref|WP_006428752.1|	glycosyl hydrolase family 2 [Dorea longicatena] 
gi|493473736|ref|WP_006428753.1|	hypothetical protein [Dorea longicatena] 
gi|493473737|ref|WP_006428754.1|	MULTISPECIES: 3-deoxy-7-phosphoheptulonate synthase [Dorea] 
gi|493473738|ref|WP_006428755.1|	3-dehydroquinate synthase [Dorea longicatena] 
gi|493473739|ref|WP_006428756.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473740|ref|WP_006428757.1|	MULTISPECIES: L-ribulose-5-phosphate 4-epimerase [Dorea] 
gi|493473741|ref|WP_006428758.1|	ATPase [Dorea longicatena] 
gi|493473742|ref|WP_006428759.1|	arabinose isomerase [Dorea longicatena] 
gi|493473743|ref|WP_006428760.1|	MULTISPECIES: AraC family transcriptional regulator [Dorea] 
gi|493473744|ref|WP_006428761.1|	hypothetical protein [Dorea longicatena] 
gi|493473745|ref|WP_006428762.1|	MULTISPECIES: ATP synthase F1 subunit epsilon [Dorea] 
gi|493473746|ref|WP_006428763.1|	F0F1 ATP synthase subunit beta [Dorea longicatena] 
gi|493473747|ref|WP_006428764.1|	F0F1 ATP synthase subunit gamma [Dorea longicatena] 
gi|493473748|ref|WP_006428765.1|	ATP synthase F1 subunit alpha [Dorea longicatena] 
gi|493473749|ref|WP_006428766.1|	hypothetical protein [Dorea longicatena] 
gi|493473750|ref|WP_006428767.1|	ATP synthase F0 subunit B [Dorea longicatena] 
gi|493473751|ref|WP_006428768.1|	MULTISPECIES: F0F1 ATP synthase subunit C [Dorea] 
gi|493473752|ref|WP_006428769.1|	F0F1 ATP synthase subunit A [Dorea longicatena] 
gi|493473753|ref|WP_006428770.1|	chorismate--pyruvate lyase [Dorea longicatena] 
gi|493473754|ref|WP_006428771.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473755|ref|WP_006428772.1|	ribonucleoside-triphosphate reductase activating protein [Dorea longicatena] 
gi|493473756|ref|WP_006428773.1|	membrane protein [Dorea longicatena] 
gi|493473757|ref|WP_006428774.1|	ribonucleoside triphosphate reductase [Dorea longicatena] 
gi|493473758|ref|WP_006428775.1|	rubredoxin [Dorea longicatena] 
gi|493473759|ref|WP_006428776.1|	hypothetical protein [Dorea longicatena] 
gi|493473760|ref|WP_006428777.1|	hemerythrin [Dorea longicatena] 
gi|493473761|ref|WP_006428778.1|	hypothetical protein [Dorea longicatena] 
gi|493473762|ref|WP_006428779.1|	hypothetical protein [Dorea longicatena] 
gi|493473763|ref|WP_006428780.1|	hypothetical protein [Dorea longicatena] 
gi|493473764|ref|WP_006428781.1|	bacitracin ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493473765|ref|WP_006428782.1|	hypothetical protein [Dorea longicatena] 
gi|493473766|ref|WP_006428783.1|	hypothetical protein [Dorea longicatena] 
gi|493473767|ref|WP_006428784.1|	hypothetical protein [Dorea longicatena] 
gi|493473768|ref|WP_006428785.1|	MULTISPECIES: PadR family transcriptional regulator [Dorea] 
gi|493473769|ref|WP_006428786.1|	cardiolipin synthase [Dorea longicatena] 
gi|493473770|ref|WP_006428787.1|	hypothetical protein [Dorea longicatena] 
gi|493473771|ref|WP_006428788.1|	hypothetical protein [Dorea longicatena] 
gi|493473772|ref|WP_006428789.1|	hypothetical protein [Dorea longicatena] 
gi|493473773|ref|WP_006428790.1|	hypothetical protein [Dorea longicatena] 
gi|493473774|ref|WP_006428791.1|	hypothetical protein [Dorea longicatena] 
gi|493473775|ref|WP_006428792.1|	hypothetical protein [Dorea longicatena] 
gi|493473776|ref|WP_006428793.1|	ATPase [Dorea longicatena] 
gi|493473777|ref|WP_006428794.1|	V-type ATP synthase subunit B [Dorea longicatena] 
gi|493473778|ref|WP_006428795.1|	ATP synthase subunit A [Dorea longicatena] 
gi|493473779|ref|WP_006428796.1|	hypothetical protein [Dorea longicatena] 
gi|493473780|ref|WP_006428797.1|	hypothetical protein [Dorea longicatena] 
gi|493473781|ref|WP_006428798.1|	hypothetical protein [Dorea longicatena] 
gi|493473782|ref|WP_006428799.1|	ATPase [Dorea longicatena] 
gi|493473783|ref|WP_006428800.1|	hypothetical protein [Dorea longicatena] 
gi|493473784|ref|WP_006428801.1|	hypothetical protein [Dorea longicatena] 
gi|493473785|ref|WP_006428802.1|	tRNA (guanine-N(7)-)-methyltransferase [Dorea longicatena] 
gi|493473786|ref|WP_006428803.1|	hypothetical protein [Dorea longicatena] 
gi|493473787|ref|WP_006428804.1|	hypothetical protein [Dorea longicatena] 
gi|493473788|ref|WP_006428805.1|	glycogen branching protein [Dorea longicatena] 
gi|493473789|ref|WP_006428806.1|	hypothetical protein [Dorea longicatena] 
gi|493473790|ref|WP_006428807.1|	hypothetical protein [Dorea longicatena] 
gi|493473791|ref|WP_006428808.1|	biotin biosynthesis protein BioY [Dorea longicatena] 
gi|493473792|ref|WP_006428809.1|	hypothetical protein [Dorea longicatena] 
gi|493473793|ref|WP_006428810.1|	haloacid dehalogenase [Dorea longicatena] 
gi|493473794|ref|WP_006428811.1|	hypothetical protein [Dorea longicatena] 
gi|493473795|ref|WP_006428812.1|	ABC transporter substrate-binding protein [Dorea longicatena] 
gi|493473796|ref|WP_006428813.1|	ABC transporter permease [Dorea longicatena] 
gi|493473798|ref|WP_006428815.1|	glycerol-3-phosphate ABC transporter permease [Dorea longicatena] 
gi|493473800|ref|WP_006428817.1|	sugar ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493473802|ref|WP_006428818.1|	hypothetical protein [Dorea longicatena] 
gi|493473803|ref|WP_006428819.1|	hypothetical protein [Dorea longicatena] 
gi|493473804|ref|WP_006428820.1|	RNA polymerase sigma 70 [Dorea longicatena] 
gi|493473805|ref|WP_006428821.1|	hypothetical protein [Dorea longicatena] 
gi|493473806|ref|WP_006428822.1|	hydratase [Dorea longicatena] 
gi|493473807|ref|WP_006428823.1|	hypothetical protein [Dorea longicatena] 
gi|493473808|ref|WP_006428824.1|	hypothetical protein [Dorea longicatena] 
gi|493473809|ref|WP_006428825.1|	MULTISPECIES: sugar ABC transporter ATP-binding protein [Dorea] 
gi|493473810|ref|WP_006428826.1|	methyltransferase [Dorea longicatena] 
gi|493473811|ref|WP_006428827.1|	hypothetical protein [Dorea longicatena] 
gi|493473812|ref|WP_006428828.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473813|ref|WP_006428829.1|	DNA polymerase III subunit delta [Dorea longicatena] 
gi|493473814|ref|WP_006428830.1|	guanylate kinase [Dorea longicatena] 
gi|493473815|ref|WP_006428831.1|	amino acid decarboxylase [Dorea longicatena] 
gi|493473816|ref|WP_006428832.1|	hypothetical protein [Dorea longicatena] 
gi|493473817|ref|WP_006428833.1|	MULTISPECIES: S-adenosylhomocysteine nucleosidase [Dorea] 
gi|493473818|ref|WP_006428834.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473819|ref|WP_006428835.1|	hypothetical protein [Dorea longicatena] 
gi|493473820|ref|WP_006428836.1|	hypothetical protein [Dorea longicatena] 
gi|493473821|ref|WP_006428837.1|	MULTISPECIES: UDP-diphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase [Dorea] 
gi|493473822|ref|WP_006428838.1|	hypothetical protein [Dorea longicatena] 
gi|493473823|ref|WP_006428839.1|	MULTISPECIES: histidine triad (HIT) protein [Dorea] 
gi|493473824|ref|WP_006428840.1|	hypothetical protein [Dorea longicatena] 
gi|493473825|ref|WP_006428841.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473826|ref|WP_006428842.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473827|ref|WP_006428843.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473828|ref|WP_006428844.1|	hypothetical protein [Dorea longicatena] 
gi|493473829|ref|WP_006428845.1|	hypothetical protein [Dorea longicatena] 
gi|493473830|ref|WP_006428846.1|	hypothetical protein [Dorea longicatena] 
gi|493473831|ref|WP_006428847.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473832|ref|WP_006428848.1|	hypothetical protein [Dorea longicatena] 
gi|493473833|ref|WP_006428849.1|	type II secretion system protein F [Dorea longicatena] 
gi|493473834|ref|WP_006428850.1|	pilus biosynthesis protein [Dorea longicatena] 
gi|493473835|ref|WP_006428851.1|	hypothetical protein [Dorea longicatena] 
gi|493473836|ref|WP_006428852.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473837|ref|WP_006428853.1|	hypothetical protein [Dorea longicatena] 
gi|493473838|ref|WP_006428854.1|	MULTISPECIES: cytidine deaminase [Dorea] 
gi|493473839|ref|WP_006428855.1|	MULTISPECIES: uracil phosphoribosyltransferase [Dorea] 
gi|493473840|ref|WP_006428856.1|	tRNA threonylcarbamoyladenosine biosynthesis protein [Dorea longicatena] 
gi|493473841|ref|WP_006428857.1|	hypothetical protein [Dorea longicatena] 
gi|493473842|ref|WP_006428858.1|	glycosyl hydrolase family 18 [Dorea longicatena] 
gi|493473843|ref|WP_006428859.1|	hypothetical protein [Dorea longicatena] 
gi|493473844|ref|WP_006428860.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473845|ref|WP_006428861.1|	hypothetical protein [Dorea longicatena] 
gi|493473846|ref|WP_006428862.1|	hypothetical protein [Dorea longicatena] 
gi|493473847|ref|WP_006428863.1|	hypothetical protein [Dorea longicatena] 
gi|493473848|ref|WP_006428864.1|	competence protein [Dorea longicatena] 
gi|493473852|ref|WP_006428867.1|	dihydrolipoamide dehydrogenase [Dorea longicatena] 
gi|493473853|ref|WP_006428868.1|	hypothetical protein [Dorea longicatena] 
gi|493473854|ref|WP_006428869.1|	glycine dehydrogenase subunit 2 [Dorea longicatena] 
gi|493473855|ref|WP_006428870.1|	glycine dehydrogenase [Dorea longicatena] 
gi|493473856|ref|WP_006428871.1|	glycine cleavage system protein H [Dorea longicatena] 
gi|493473857|ref|WP_006428872.1|	glycine cleavage system protein T [Dorea longicatena] 
gi|493473858|ref|WP_006428873.1|	serine hydroxymethyltransferase [Dorea longicatena] 
gi|493473859|ref|WP_006428874.1|	ATP-binding protein [Dorea longicatena] 
gi|493473860|ref|WP_006428875.1|	MULTISPECIES: endoribonuclease L-PSP [Dorea] 
gi|493473862|ref|WP_006428877.1|	hypothetical protein [Dorea longicatena] 
gi|493473864|ref|WP_006428878.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493473865|ref|WP_006428879.1|	ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493473866|ref|WP_006428880.1|	hypothetical protein [Dorea longicatena] 
gi|493473867|ref|WP_006428881.1|	hypothetical protein [Dorea longicatena] 
gi|493473868|ref|WP_006428882.1|	PAP2 family phosphoesterase [Dorea longicatena] 
gi|493473869|ref|WP_006428883.1|	multidrug transporter MatE [Dorea longicatena] 
gi|493473870|ref|WP_006428884.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473871|ref|WP_006428885.1|	hypothetical protein [Dorea longicatena] 
gi|493473872|ref|WP_006428886.1|	hypothetical protein [Dorea longicatena] 
gi|493473873|ref|WP_006428887.1|	hypothetical protein [Dorea longicatena] 
gi|493473874|ref|WP_006428888.1|	hypothetical protein [Dorea longicatena] 
gi|493473875|ref|WP_006428889.1|	transposase [Dorea longicatena] 
gi|493473876|ref|WP_006428890.1|	molecular chaperone Tir [Dorea longicatena] 
gi|493473877|ref|WP_006428891.1|	hypothetical protein [Dorea longicatena] 
gi|493473878|ref|WP_006428892.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|493473879|ref|WP_006428893.1|	cell filamentation protein [Dorea longicatena] 
gi|493473880|ref|WP_006428894.1|	hypothetical protein [Dorea longicatena] 
gi|491481903|ref|WP_005339644.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473881|ref|WP_006428895.1|	hypothetical protein [Dorea longicatena] 
gi|491481906|ref|WP_005339647.1|	MULTISPECIES: transposase [Dorea] 
gi|493473882|ref|WP_006428896.1|	RNA methyltransferase [Dorea longicatena] 
gi|493473883|ref|WP_006428897.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473884|ref|WP_006428898.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473885|ref|WP_006428899.1|	ATP-dependent DNA helicase PcrA [Dorea longicatena] 
gi|493473886|ref|WP_006428900.1|	hypothetical protein [Dorea longicatena] 
gi|493473887|ref|WP_006428901.1|	ABC transporter [Dorea longicatena] 
gi|493473888|ref|WP_006428902.1|	ABC transporter [Dorea longicatena] 
gi|493473889|ref|WP_006428903.1|	hypothetical protein [Dorea longicatena] 
gi|493473890|ref|WP_006428904.1|	hypothetical protein [Dorea longicatena] 
gi|493473891|ref|WP_006428905.1|	hypothetical protein [Dorea longicatena] 
gi|493473892|ref|WP_006428906.1|	MULTISPECIES: hydrolase [Dorea] 
gi|493473893|ref|WP_006428907.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473894|ref|WP_006428908.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473895|ref|WP_006428909.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473896|ref|WP_006428910.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473897|ref|WP_006428911.1|	hypothetical protein [Dorea longicatena] 
gi|493473898|ref|WP_006428912.1|	MULTISPECIES: sugar transporter [Dorea] 
gi|493473899|ref|WP_006428913.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473900|ref|WP_006428914.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473901|ref|WP_006428915.1|	hypothetical protein [Dorea longicatena] 
gi|493473902|ref|WP_006428916.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473903|ref|WP_006428917.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473904|ref|WP_006428918.1|	glyoxalase [Dorea longicatena] 
gi|493473905|ref|WP_006428919.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473906|ref|WP_006428920.1|	hypothetical protein [Dorea longicatena] 
gi|493473907|ref|WP_006428921.1|	transporter [Dorea longicatena] 
gi|493473908|ref|WP_006428922.1|	hypothetical protein [Dorea longicatena] 
gi|493473909|ref|WP_006428923.1|	hypothetical protein [Dorea longicatena] 
gi|493473910|ref|WP_006428924.1|	MULTISPECIES: nitrate ABC transporter substrate-binding protein [Dorea] 
gi|493473911|ref|WP_006428925.1|	hypothetical protein [Dorea longicatena] 
gi|493473912|ref|WP_006428926.1|	hypothetical protein [Dorea longicatena] 
gi|493473913|ref|WP_006428927.1|	alpha/beta hydrolase [Dorea longicatena] 
gi|493473914|ref|WP_006428928.1|	MULTISPECIES: membrane protein [Dorea] 
gi|493473915|ref|WP_006428929.1|	multidrug ABC transporter ATP-binding protein [Dorea longicatena] 
gi|493473916|ref|WP_006428930.1|	MULTISPECIES: adenine permease [Dorea] 
gi|493473917|ref|WP_006428931.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473918|ref|WP_006428932.1|	MULTISPECIES: cold-shock protein [Dorea] 
gi|493473919|ref|WP_006428933.1|	hypothetical protein [Dorea longicatena] 
gi|493473920|ref|WP_006428934.1|	MULTISPECIES: amino acid-binding protein [Dorea] 
gi|493473921|ref|WP_006428935.1|	phenylacetate-CoA ligase [Dorea longicatena] 
gi|493473922|ref|WP_006428936.1|	indolepyruvate oxidoreductase [Dorea longicatena] 
gi|493473923|ref|WP_006428937.1|	MULTISPECIES: hypothetical protein [Dorea] 
gi|493473924|ref|WP_006428938.1|	MFS transporter [Dorea longicatena] 
gi|493473925|ref|WP_006428939.1|	SAM-dependent methyltransferase [Dorea longicatena] 
gi|493473926|ref|WP_006428940.1|	DNA polymerase III subunit alpha [Dorea longicatena] 
gi|493473927|ref|WP_006428941.1|	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase [Dorea longicatena] 
gi|493473928|ref|WP_006428942.1|	hypothetical protein [Dorea longicatena] 
