gi|490373514|ref|WP_004253117.1|	membrane protein [Providencia rettgeri] 
gi|490385497|ref|WP_004264995.1|	autonomous glycyl radical cofactor GrcA [Providencia rettgeri] 
gi|490385499|ref|WP_004264997.1|	uracil-DNA glycosylase [Providencia rettgeri] 
gi|490385500|ref|WP_004264998.1|	heat shock protein GrpE [Providencia rettgeri] 
gi|490385501|ref|WP_004264999.1|	inorganic polyphosphate/ATP-NAD kinase [Providencia rettgeri] 
gi|490385502|ref|WP_004265000.1|	recombinase [Providencia rettgeri] 
gi|490385503|ref|WP_004265001.1|	hypothetical protein [Providencia rettgeri] 
gi|490385504|ref|WP_004265002.1|	hypothetical protein [Providencia rettgeri] 
gi|490385505|ref|WP_004265003.1|	hypothetical protein [Providencia rettgeri] 
gi|490385506|ref|WP_004265004.1|	single-stranded DNA-binding protein [Providencia rettgeri] 
gi|490385508|ref|WP_004265006.1|	integrase [Providencia rettgeri] 
gi|490385510|ref|WP_004265008.1|	integrase [Providencia rettgeri] 
gi|490385512|ref|WP_004265010.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385513|ref|WP_004265011.1|	aldo/keto reductase [Providencia rettgeri] 
gi|490385514|ref|WP_004265012.1|	2,5-diketo-D-gluconic acid reductase [Providencia rettgeri] 
gi|490385515|ref|WP_004265013.1|	alpha/beta hydrolase [Providencia rettgeri] 
gi|490385516|ref|WP_004265014.1|	flavodoxin [Providencia rettgeri] 
gi|490385519|ref|WP_004265017.1|	glutathione peroxidase [Providencia rettgeri] 
gi|490385525|ref|WP_004265023.1|	hypothetical protein [Providencia rettgeri] 
gi|490385537|ref|WP_004265035.1|	hypothetical protein [Providencia rettgeri] 
gi|490385538|ref|WP_004265036.1|	putative transcriptional regulator [Providencia rettgeri] 
gi|490385546|ref|WP_004265044.1|	hypothetical protein [Providencia rettgeri] 
gi|490385548|ref|WP_004265046.1|	hypothetical protein [Providencia rettgeri] 
gi|490385550|ref|WP_004265048.1|	hypothetical protein [Providencia rettgeri] 
gi|490385552|ref|WP_004265050.1|	putative antirestriction protein [Providencia rettgeri] 
gi|490385555|ref|WP_004265053.1|	hypothetical protein [Providencia rettgeri] 
gi|490385568|ref|WP_004265066.1|	indole-3-glycerol phosphate synthase partial [Providencia rettgeri] 
gi|490385569|ref|WP_004265067.1|	hypothetical protein [Providencia rettgeri] 
gi|490385571|ref|WP_004265069.1|	hypothetical protein [Providencia rettgeri] 
gi|490385573|ref|WP_004265071.1|	toxin Bro [Providencia rettgeri] 
gi|490385574|ref|WP_004265072.1|	hypothetical protein [Providencia rettgeri] 
gi|490385576|ref|WP_004265074.1|	hypothetical protein [Providencia rettgeri] 
gi|490385578|ref|WP_004265076.1|	hypothetical protein [Providencia rettgeri] 
gi|490385590|ref|WP_004265088.1|	hypothetical protein [Providencia rettgeri] 
gi|490385592|ref|WP_004265090.1|	hypothetical protein [Providencia rettgeri] 
gi|490385594|ref|WP_004265092.1|	hypothetical protein [Providencia rettgeri] 
gi|490385596|ref|WP_004265094.1|	hypothetical protein [Providencia rettgeri] 
gi|490385598|ref|WP_004265096.1|	AlpA family transcriptional regulator [Providencia rettgeri] 
gi|490385600|ref|WP_004265098.1|	hypothetical protein [Providencia rettgeri] 
gi|490385602|ref|WP_004265100.1|	hypothetical protein [Providencia rettgeri] 
gi|490385604|ref|WP_004265102.1|	hypothetical protein [Providencia rettgeri] 
gi|490385606|ref|WP_004265104.1|	integrase [Providencia rettgeri] 
gi|490385608|ref|WP_004265106.1|	hypothetical protein [Providencia rettgeri] 
gi|490385610|ref|WP_004265108.1|	ribonuclease PH [Providencia rettgeri] 
gi|490385612|ref|WP_004265110.1|	orotate phosphoribosyltransferase [Providencia rettgeri] 
gi|490385614|ref|WP_004265112.1|	division inhibitor protein [Providencia rettgeri] 
gi|490385617|ref|WP_004265115.1|	deoxyuridine 5'-triphosphate nucleotidohydrolase [Providencia rettgeri] 
gi|490385619|ref|WP_004265117.1|	phosphopantothenoylcysteine decarboxylase [Providencia rettgeri] 
gi|490385622|ref|WP_004265120.1|	hypothetical protein [Providencia rettgeri] 
gi|490385625|ref|WP_004265123.1|	MULTISPECIES: 50S ribosomal protein L28 [Enterobacteriaceae] 
gi|490385626|ref|WP_004265124.1|	MULTISPECIES: 50S ribosomal protein L33 [Providencia] 
gi|490385628|ref|WP_004265126.1|	lipopolysaccharide core heptosyltransferase RfaQ [Providencia rettgeri] 
gi|490385630|ref|WP_004265128.1|	glucosyltransferase [Providencia rettgeri] 
gi|490385632|ref|WP_004265130.1|	lipopolysaccharide core heptose(I) kinase RfaP [Providencia rettgeri] 
gi|490385633|ref|WP_004265131.1|	lipopolysaccharide 1,3-galactosyltransferase [Providencia rettgeri] 
gi|490385635|ref|WP_004265133.1|	ligase [Providencia rettgeri] 
gi|490385638|ref|WP_004265136.1|	lipopolysaccharide 1,2-glucosyltransferase [Providencia rettgeri] 
gi|490385640|ref|WP_004265138.1|	lipopolysaccharide 1,2-N-acetylglucosaminetransferase [Providencia rettgeri] 
gi|490385642|ref|WP_004265140.1|	5-hydroxymethyluracil DNA glycosylase [Providencia rettgeri] 
gi|490385644|ref|WP_004265142.1|	phosphopantetheine adenylyltransferase [Providencia rettgeri] 
gi|490385646|ref|WP_004265144.1|	3-deoxy-D-manno-octulosonic acid transferase [Providencia rettgeri] 
gi|490385647|ref|WP_004265145.1|	glycosyltransferase [Providencia rettgeri] 
gi|490385650|ref|WP_004265148.1|	ADP-heptose:LPS heptosyl transferase [Providencia rettgeri] 
gi|490385652|ref|WP_004265150.1|	ADP-heptose:LPS heptosyl transferase [Providencia rettgeri] 
gi|490385654|ref|WP_004265152.1|	ADP-L-glycero-D-mannoheptose-6-epimerase [Providencia rettgeri] 
gi|490385655|ref|WP_004265153.1|	2-amino-3-ketobutyrate CoA ligase [Providencia rettgeri] 
gi|490385657|ref|WP_004265155.1|	L-threonine 3-dehydrogenase [Providencia rettgeri] 
gi|490385659|ref|WP_004265157.1|	polysaccharide deacetylase [Providencia rettgeri] 
gi|490385660|ref|WP_004265158.1|	peptidase M37 [Providencia rettgeri] 
gi|490385661|ref|WP_004265159.1|	hypothetical protein [Providencia rettgeri] 
gi|490385662|ref|WP_004265160.1|	preprotein translocase subunit SecB [Providencia rettgeri] 
gi|490385663|ref|WP_004265161.1|	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase [Providencia rettgeri] 
gi|490385664|ref|WP_004265162.1|	serine acetyltransferase [Providencia rettgeri] 
gi|490385666|ref|WP_004265164.1|	toxin-antitoxin system antitoxin component PHD family [Providencia rettgeri] 
gi|490385668|ref|WP_004265166.1|	rRNA methyltransferase [Providencia rettgeri] 
gi|490385670|ref|WP_004265168.1|	polysaccharide biosynthesis protein [Providencia rettgeri] 
gi|490385672|ref|WP_004265170.1|	nucleotidyl transferase [Providencia rettgeri] 
gi|490385673|ref|WP_004265171.1|	putative class I glutamine amidotransferase [Providencia rettgeri] 
gi|490385676|ref|WP_004265174.1|	sugar metabolism cluster protein [Providencia rettgeri] 
gi|490385680|ref|WP_004265178.1|	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase family protein [Providencia rettgeri] 
gi|490385681|ref|WP_004265179.1|	UDP-galactose-4-epimerase [Providencia rettgeri] 
gi|490385682|ref|WP_004265180.1|	tyrosine-protein kinase [Providencia rettgeri] 
gi|490385683|ref|WP_004265181.1|	protein-tyrosine phosphatase [Providencia rettgeri] 
gi|490385684|ref|WP_004265182.1|	polysaccharide export protein Wza [Providencia rettgeri] 
gi|490385685|ref|WP_004265183.1|	glycosyl transferase [Providencia rettgeri] 
gi|490385686|ref|WP_004265184.1|	glycosyl transferase group 2 family [Providencia rettgeri] 
gi|490385695|ref|WP_004265193.1|	hypothetical protein [Providencia rettgeri] 
gi|490385704|ref|WP_004265202.1|	putative glycosyltransferase [Providencia rettgeri] 
gi|490385706|ref|WP_004265204.1|	dTDP-4-dehydrorhamnose 3,5-epimerase [Providencia rettgeri] 
gi|490385708|ref|WP_004265206.1|	dTDP-4-dehydrorhamnose reductase [Providencia rettgeri] 
gi|490385710|ref|WP_004265208.1|	aminotransferase [Providencia rettgeri] 
gi|490385712|ref|WP_004265210.1|	dtdp-6-deoxy-3,4-keto-hexulose isomerase [Providencia rettgeri] 
gi|490385713|ref|WP_004265211.1|	dTDP-6-deoxy-3,4-keto-hexulose isomerase [Providencia rettgeri] 
gi|490385714|ref|WP_004265212.1|	glucose-1-phosphate thymidylyltransferase [Providencia rettgeri] 
gi|490385715|ref|WP_004265213.1|	dTDP-glucose 4,6-dehydratase [Providencia rettgeri] 
gi|490385722|ref|WP_004265220.1|	membrane protein [Providencia rettgeri] 
gi|490385724|ref|WP_004265222.1|	histidine kinase [Providencia rettgeri] 
gi|490385726|ref|WP_004265224.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385728|ref|WP_004265226.1|	hypothetical protein [Providencia rettgeri] 
gi|490385730|ref|WP_004265228.1|	toxin-antitoxin system toxin component RelE family [Providencia rettgeri] 
gi|490385731|ref|WP_004265229.1|	hypothetical protein [Providencia rettgeri] 
gi|490385732|ref|WP_004265230.1|	hypothetical protein [Providencia rettgeri] 
gi|490385733|ref|WP_004265231.1|	hypothetical protein [Providencia rettgeri] 
gi|490385735|ref|WP_004265233.1|	acyltransferase [Providencia rettgeri] 
gi|490385737|ref|WP_004265235.1|	phosphatidate cytidylyltransferase [Providencia rettgeri] 
gi|490385739|ref|WP_004265237.1|	6-phosphofructokinase [Providencia rettgeri] 
gi|490385742|ref|WP_004265240.1|	AraC family transcriptional regulator [Providencia rettgeri] 
gi|490385744|ref|WP_004265242.1|	hypothetical protein [Providencia rettgeri] 
gi|490385746|ref|WP_004265244.1|	hydroxyacid dehydrogenase [Providencia rettgeri] 
gi|490385748|ref|WP_004265246.1|	inosine-uridine preferring nucleoside hydrolase [Providencia rettgeri] 
gi|490385749|ref|WP_004265247.1|	cytidine/uridine-specific hydrolase [Providencia rettgeri] 
gi|490385750|ref|WP_004265248.1|	ABC transporter permease [Providencia rettgeri] 
gi|490385751|ref|WP_004265249.1|	ribose ABC transporter ATPase [Providencia rettgeri] 
gi|490385752|ref|WP_004265250.1|	sugar ABC transporter substrate-binding protein [Providencia rettgeri] 
gi|490385753|ref|WP_004265251.1|	ribokinase [Providencia rettgeri] 
gi|490385754|ref|WP_004265252.1|	FMN reductase [Providencia rettgeri] 
gi|490385756|ref|WP_004265254.1|	sulfonate ABC transporter [Providencia rettgeri] 
gi|490385758|ref|WP_004265256.1|	aliphatic sulfonate ABC transporter ATP-binding protein [Providencia rettgeri] 
gi|490385770|ref|WP_004265268.1|	alkanesulfonate monooxygenase [Providencia rettgeri] 
gi|490385772|ref|WP_004265270.1|	sulfonate ABC transporter periplasmic sulfonate-binding protein SsuA [Providencia rettgeri] 
gi|490385775|ref|WP_004265273.1|	membrane protein [Providencia rettgeri] 
gi|490385777|ref|WP_004265275.1|	sulfate transporter subunit [Providencia rettgeri] 
gi|490385778|ref|WP_004265276.1|	membrane protein [Providencia rettgeri] 
gi|490385780|ref|WP_004265278.1|	glycosyl hydrolase [Providencia rettgeri] 
gi|490385782|ref|WP_004265280.1|	membrane protein [Providencia rettgeri] 
gi|490385784|ref|WP_004265282.1|	triosephosphate isomerase [Providencia rettgeri] 
gi|490385786|ref|WP_004265284.1|	hypothetical protein [Providencia rettgeri] 
gi|490385787|ref|WP_004265285.1|	membrane protein [Providencia rettgeri] 
gi|490385789|ref|WP_004265287.1|	ferredoxin-NADP reductase [Providencia rettgeri] 
gi|490385791|ref|WP_004265289.1|	hypothetical protein [Providencia rettgeri] 
gi|490385793|ref|WP_004265291.1|	multidrug resistance protein D [Providencia rettgeri] 
gi|490385795|ref|WP_004265293.1|	hypothetical protein [Providencia rettgeri] 
gi|490385797|ref|WP_004265295.1|	glycerol kinase [Providencia rettgeri] 
gi|490385799|ref|WP_004265297.1|	glycerol uptake facilitator GlpF [Providencia rettgeri] 
gi|490385801|ref|WP_004265299.1|	septal ring assembly protein ZapB [Providencia rettgeri] 
gi|490385802|ref|WP_004265300.1|	regulator [Providencia rettgeri] 
gi|490385803|ref|WP_004265301.1|	1,4-dihydroxy-2-naphthoate prenyltransferase [Providencia rettgeri] 
gi|490385804|ref|WP_004265302.1|	ATP-dependent protease [Providencia rettgeri] 
gi|490385806|ref|WP_004265304.1|	ATP-dependent protease [Providencia rettgeri] 
gi|490385809|ref|WP_004265307.1|	cell division protein FtsN [Providencia rettgeri] 
gi|490385810|ref|WP_004265308.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385812|ref|WP_004265310.1|	primosome assembly protein PriA [Providencia rettgeri] 
gi|490385815|ref|WP_004265313.1|	MULTISPECIES: 50S ribosomal protein L31 [Providencia] 
gi|490385817|ref|WP_004265315.1|	MULTISPECIES: transcriptional regulator [Providencia] 
gi|490385819|ref|WP_004265317.1|	cystathionine gamma-synthase [Providencia rettgeri] 
gi|490385821|ref|WP_004265319.1|	bifunctional aspartate kinase II/homoserine dehydrogenase II [Providencia rettgeri] 
gi|490385823|ref|WP_004265321.1|	phosphoenolpyruvate carboxylase [Providencia rettgeri] 
gi|490385825|ref|WP_004265323.1|	extreme acid sensitivity protein XasA [Providencia rettgeri] 
gi|490385826|ref|WP_004265324.1|	extreme acid sensitivity protein XasA [Providencia rettgeri] 
gi|490385827|ref|WP_004265325.1|	glutamate decarboxylase [Providencia rettgeri] 
gi|490385828|ref|WP_004265326.1|	hypothetical protein [Providencia rettgeri] 
gi|490385829|ref|WP_004265327.1|	5,10-methylenetetrahydrofolate reductase [Providencia rettgeri] 
gi|490385831|ref|WP_004265329.1|	acetylornithine deacetylase [Providencia rettgeri] 
gi|490385833|ref|WP_004265331.1|	hypothetical protein [Providencia rettgeri] 
gi|490385834|ref|WP_004265332.1|	N-acetyl-gamma-glutamyl-phosphate reductase [Providencia rettgeri] 
gi|490385835|ref|WP_004265333.1|	acetylglutamate kinase [Providencia rettgeri] 
gi|490385836|ref|WP_004265334.1|	argininosuccinate synthase [Providencia rettgeri] 
gi|490385837|ref|WP_004265335.1|	argininosuccinate lyase [Providencia rettgeri] 
gi|490385838|ref|WP_004265336.1|	hypothetical protein [Providencia rettgeri] 
gi|490385840|ref|WP_004265338.1|	Yqi fimbriae subunit YgiL [Providencia rettgeri] 
gi|490385842|ref|WP_004265340.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385844|ref|WP_004265342.1|	soluble pyridine nucleotide transhydrogenase [Providencia rettgeri] 
gi|490385852|ref|WP_004265350.1|	transcriptional regulator [Providencia rettgeri] 
gi|490385854|ref|WP_004265352.1|	membrane protein [Providencia rettgeri] 
gi|490385856|ref|WP_004265354.1|	tRNA (uracil-5-)-methyltransferase [Providencia rettgeri] 
gi|490385857|ref|WP_004265355.1|	vitamin B12/cobalamin outer membrane transporter [Providencia rettgeri] 
gi|490385859|ref|WP_004265357.1|	glutamate racemase [Providencia rettgeri] 
gi|490385861|ref|WP_004265359.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490385863|ref|WP_004265361.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490385865|ref|WP_004265363.1|	hypothetical protein [Providencia rettgeri] 
gi|490385866|ref|WP_004265364.1|	hypothetical protein [Providencia rettgeri] 
gi|490385868|ref|WP_004265366.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490385871|ref|WP_004265369.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490385873|ref|WP_004265371.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490385876|ref|WP_004265374.1|	hypothetical protein [Providencia rettgeri] 
gi|490375810|ref|WP_004255410.1|	3-hydroxybutyryl-CoA dehydrogenase [Providencia rettgeri] 
gi|490385878|ref|WP_004265376.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490385879|ref|WP_004265377.1|	hypothetical protein partial [Providencia rettgeri] 
gi|490385882|ref|WP_004265380.1|	tryptophan synthase subunit alpha [Providencia rettgeri] 
gi|490385884|ref|WP_004265382.1|	ProQ protein [Providencia rettgeri] 
gi|490385887|ref|WP_004265385.1|	hypothetical membrane-fusion protein [Providencia rettgeri] 
gi|490385889|ref|WP_004265387.1|	DNA primase [Providencia rettgeri] 
gi|490385899|ref|WP_004265397.1|	hypothetical protein [Providencia rettgeri] 
gi|491044490|ref|WP_004906150.1|	hypothetical protein partial [Providencia rettgeri] 
gi|491044491|ref|WP_004906151.1|	hypothetical protein [Providencia rettgeri] 
gi|491044492|ref|WP_004906152.1|	hypothetical protein [Providencia rettgeri] 
gi|491044494|ref|WP_004906154.1|	hypothetical protein [Providencia rettgeri] 
gi|491044495|ref|WP_004906155.1|	Zn(II)-responsive transcriptional regulator [Providencia rettgeri] 
gi|491044498|ref|WP_004906158.1|	hypothetical protein [Providencia rettgeri] 
gi|491044501|ref|WP_004906161.1|	hypothetical protein [Providencia rettgeri] 
gi|491044503|ref|WP_004906163.1|	hypothetical protein [Providencia rettgeri] 
gi|491044504|ref|WP_004906164.1|	hypothetical cytosolic protein [Providencia rettgeri] 
gi|491044505|ref|WP_004906165.1|	hypothetical protein [Providencia rettgeri] 
gi|491044506|ref|WP_004906166.1|	glucarate transporter [Providencia rettgeri] 
gi|491044507|ref|WP_004906167.1|	flagellar biosynthetic protein [Providencia rettgeri] 
gi|491044508|ref|WP_004906168.1|	4-hydroxy-4-methyl-2-oxoglutarate aldolase [Providencia rettgeri] 
gi|491044509|ref|WP_004906169.1|	amidohydrolase [Providencia rettgeri] 
gi|491044510|ref|WP_004906170.1|	GntR family transcriptional regulator [Providencia rettgeri] 
gi|491044511|ref|WP_004906171.1|	nucleoside permease [Providencia rettgeri] 
gi|491044513|ref|WP_004906173.1|	membrane protein [Providencia rettgeri] 
gi|491044514|ref|WP_004906174.1|	purine nucleoside phosphorylase [Providencia rettgeri] 
gi|491044516|ref|WP_004906176.1|	ROK family transcriptional regulator [Providencia rettgeri] 
gi|491044517|ref|WP_004906177.1|	hydroxyethylthiazole kinase [Providencia rettgeri] 
gi|491044519|ref|WP_004906179.1|	putative lipopolysaccharide core biosynthesis protein RfaY [Providencia rettgeri] 
gi|491044520|ref|WP_004906180.1|	UDP-glucose 6-dehydrogenase [Providencia rettgeri] 
gi|491044522|ref|WP_004906182.1|	hypothetical protein [Providencia rettgeri] 
gi|491044523|ref|WP_004906183.1|	PE-tn-6--lipooligosaccharide phosphorylethanolamine transferase [Providencia rettgeri] 
gi|491044524|ref|WP_004906184.1|	translation elongation factor [Providencia rettgeri] 
gi|491044525|ref|WP_004906185.1|	selenocysteine synthase [Providencia rettgeri] 
gi|491044526|ref|WP_004906186.1|	formate dehydrogenase accessory protein FdhE [Providencia rettgeri] 
gi|491044527|ref|WP_004906187.1|	contact-regulated protein A [Providencia rettgeri] 
gi|491044528|ref|WP_004906188.1|	hypothetical protein [Providencia rettgeri] 
