gi|490456691|ref|WP_004327459.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490459287|ref|WP_004329948.1|	acyltransferase [Alistipes putredinis] 
gi|490459290|ref|WP_004329950.1|	hemolysin [Alistipes putredinis] 
gi|490459291|ref|WP_004329951.1|	hypothetical protein [Alistipes putredinis] 
gi|490459292|ref|WP_004329952.1|	hypothetical protein [Alistipes putredinis] 
gi|490459293|ref|WP_004329953.1|	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase [Alistipes putredinis] 
gi|490459294|ref|WP_004329954.1|	hypothetical protein [Alistipes putredinis] 
gi|490459295|ref|WP_004329955.1|	hypothetical protein [Alistipes putredinis] 
gi|490459296|ref|WP_004329956.1|	SAM-dependent methyltransferase [Alistipes putredinis] 
gi|490459297|ref|WP_004329957.1|	hypothetical protein [Alistipes putredinis] 
gi|490459298|ref|WP_004329958.1|	hypothetical protein [Alistipes putredinis] 
gi|490459299|ref|WP_004329959.1|	hypothetical protein [Alistipes putredinis] 
gi|490459300|ref|WP_004329960.1|	hypothetical protein [Alistipes putredinis] 
gi|490459301|ref|WP_004329961.1|	hypothetical protein [Alistipes putredinis] 
gi|490459302|ref|WP_004329962.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459303|ref|WP_004329963.1|	MULTISPECIES: organic solvent ABC transporter substrate-binding protein [Alistipes] 
gi|490459304|ref|WP_004329964.1|	MULTISPECIES: methionine ABC transporter substrate-binding protein [Alistipes] 
gi|490459305|ref|WP_004329965.1|	MULTISPECIES: alanine racemase [Alistipes] 
gi|490459306|ref|WP_004329966.1|	MULTISPECIES: S-adenosylmethionine-dependent methyltransferase [Alistipes] 
gi|490459307|ref|WP_004329967.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459308|ref|WP_004329968.1|	molecular chaperone DnaJ [Alistipes putredinis] 
gi|490459309|ref|WP_004329969.1|	hypothetical protein [Alistipes putredinis] 
gi|490459310|ref|WP_004329970.1|	hypothetical protein [Alistipes putredinis] 
gi|490459311|ref|WP_004329971.1|	DNA mismatch repair protein MutL [Alistipes putredinis] 
gi|490459312|ref|WP_004329972.1|	membrane protein [Alistipes putredinis] 
gi|490459313|ref|WP_004329973.1|	hypothetical protein [Alistipes putredinis] 
gi|490459314|ref|WP_004329974.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459316|ref|WP_004329975.1|	flavodoxin [Alistipes putredinis] 
gi|490459317|ref|WP_004329976.1|	hypothetical protein [Alistipes putredinis] 
gi|490459318|ref|WP_004329977.1|	hypothetical protein [Alistipes putredinis] 
gi|490459319|ref|WP_004329978.1|	hypothetical protein [Alistipes putredinis] 
gi|490459320|ref|WP_004329979.1|	MFS transporter [Alistipes putredinis] 
gi|490459321|ref|WP_004329980.1|	MULTISPECIES: GNAT family acetyltransferase [Alistipes] 
gi|490459322|ref|WP_004329981.1|	hypothetical protein [Alistipes putredinis] 
gi|490459323|ref|WP_004329982.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490459324|ref|WP_004329983.1|	hypothetical protein [Alistipes putredinis] 
gi|490459325|ref|WP_004329984.1|	hypothetical protein [Alistipes putredinis] 
gi|490459326|ref|WP_004329985.1|	flavin reductase [Alistipes putredinis] 
gi|490459327|ref|WP_004329986.1|	hypothetical protein [Alistipes putredinis] 
gi|490459328|ref|WP_004329987.1|	hypothetical protein [Alistipes putredinis] 
gi|490459329|ref|WP_004329988.1|	hypothetical protein [Alistipes putredinis] 
gi|490459330|ref|WP_004329989.1|	pseudouridine synthase [Alistipes putredinis] 
gi|490459331|ref|WP_004329990.1|	hypothetical protein [Alistipes putredinis] 
gi|490459332|ref|WP_004329991.1|	toxin Fic [Alistipes putredinis] 
gi|490459333|ref|WP_004329992.1|	hypothetical protein [Alistipes putredinis] 
gi|490459334|ref|WP_004329993.1|	hypothetical protein [Alistipes putredinis] 
gi|490459335|ref|WP_004329994.1|	hypothetical protein [Alistipes putredinis] 
gi|490459336|ref|WP_004329995.1|	peptidase C14 [Alistipes putredinis] 
gi|490459337|ref|WP_004329996.1|	hypothetical protein [Alistipes putredinis] 
gi|490459338|ref|WP_004329997.1|	hypothetical protein [Alistipes putredinis] 
gi|490459339|ref|WP_004329998.1|	DEAD/DEAH box helicase [Alistipes putredinis] 
gi|490459340|ref|WP_004329999.1|	restriction endonuclease subunit M [Alistipes putredinis] 
gi|490459341|ref|WP_004330000.1|	integrase [Alistipes putredinis] 
gi|490459342|ref|WP_004330001.1|	hypothetical protein [Alistipes putredinis] 
gi|490459343|ref|WP_004330002.1|	hypothetical protein [Alistipes putredinis] 
gi|490459344|ref|WP_004330003.1|	integrase [Alistipes putredinis] 
gi|490459345|ref|WP_004330004.1|	hypothetical protein [Alistipes putredinis] 
gi|490459346|ref|WP_004330005.1|	hypothetical protein [Alistipes putredinis] 
gi|490459347|ref|WP_004330006.1|	hypothetical protein [Alistipes putredinis] 
gi|490459349|ref|WP_004330007.1|	hypothetical protein [Alistipes putredinis] 
gi|490459350|ref|WP_004330008.1|	hypothetical protein [Alistipes putredinis] 
gi|490459351|ref|WP_004330009.1|	phosphoadenosine phosphosulfate reductase [Alistipes putredinis] 
gi|490459352|ref|WP_004330010.1|	hypothetical protein [Alistipes putredinis] 
gi|490459353|ref|WP_004330011.1|	hypothetical protein [Alistipes putredinis] 
gi|490459354|ref|WP_004330012.1|	hypothetical protein [Alistipes putredinis] 
gi|490459355|ref|WP_004330013.1|	hypothetical protein [Alistipes putredinis] 
gi|490459356|ref|WP_004330014.1|	hypothetical protein [Alistipes putredinis] 
gi|490459357|ref|WP_004330015.1|	hypothetical protein [Alistipes putredinis] 
gi|490459358|ref|WP_004330016.1|	hypothetical protein [Alistipes putredinis] 
gi|490459359|ref|WP_004330017.1|	regulator [Alistipes putredinis] 
gi|490459360|ref|WP_004330018.1|	2-hydroxyacid dehydrogenase [Alistipes putredinis] 
gi|490459361|ref|WP_004330019.1|	hypothetical protein [Alistipes putredinis] 
gi|490459362|ref|WP_004330020.1|	hypothetical protein [Alistipes putredinis] 
gi|490459363|ref|WP_004330021.1|	antirepressor [Alistipes putredinis] 
gi|490459364|ref|WP_004330022.1|	hypothetical protein [Alistipes putredinis] 
gi|490459365|ref|WP_004330023.1|	hypothetical protein [Alistipes putredinis] 
gi|490459366|ref|WP_004330024.1|	hypothetical protein [Alistipes putredinis] 
gi|490459367|ref|WP_004330025.1|	hypothetical protein [Alistipes putredinis] 
gi|490459368|ref|WP_004330026.1|	hypothetical protein [Alistipes putredinis] 
gi|490459369|ref|WP_004330027.1|	hypothetical protein [Alistipes putredinis] 
gi|490459370|ref|WP_004330028.1|	hypothetical protein [Alistipes putredinis] 
gi|490459372|ref|WP_004330029.1|	hypothetical protein [Alistipes putredinis] 
gi|490459373|ref|WP_004330030.1|	hypothetical protein [Alistipes putredinis] 
gi|490459374|ref|WP_004330031.1|	hypothetical protein [Alistipes putredinis] 
gi|490459375|ref|WP_004330032.1|	hypothetical protein [Alistipes putredinis] 
gi|490459376|ref|WP_004330033.1|	hypothetical protein [Alistipes putredinis] 
gi|490459377|ref|WP_004330034.1|	hypothetical protein [Alistipes putredinis] 
gi|490459378|ref|WP_004330035.1|	hypothetical protein [Alistipes putredinis] 
gi|490459379|ref|WP_004330036.1|	hypothetical protein [Alistipes putredinis] 
gi|490459380|ref|WP_004330037.1|	hypothetical protein [Alistipes putredinis] 
gi|490456876|ref|WP_004327633.1|	hypothetical protein [Alistipes putredinis] 
gi|490459385|ref|WP_004330041.1|	hypothetical protein partial [Alistipes putredinis] 
gi|490456700|ref|WP_004327467.1|	hypothetical protein [Alistipes putredinis] 
gi|490459386|ref|WP_004330042.1|	hypothetical protein [Alistipes putredinis] 
gi|490459387|ref|WP_004330043.1|	MULTISPECIES: mobilization protein [Alistipes] 
gi|490459388|ref|WP_004330044.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459389|ref|WP_004330045.1|	hypothetical protein [Alistipes putredinis] 
gi|490459390|ref|WP_004330046.1|	hypothetical protein [Alistipes putredinis] 
gi|490459391|ref|WP_004330047.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459392|ref|WP_004330048.1|	MULTISPECIES: DNA-binding protein [Alistipes] 
gi|490459393|ref|WP_004330049.1|	hypothetical protein [Alistipes putredinis] 
gi|490459394|ref|WP_004330050.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459395|ref|WP_004330051.1|	hypothetical protein [Alistipes putredinis] 
gi|490459396|ref|WP_004330052.1|	integrase [Alistipes putredinis] 
gi|490459397|ref|WP_004330053.1|	hypothetical protein [Alistipes putredinis] 
gi|490459398|ref|WP_004330054.1|	hypothetical protein [Alistipes putredinis] 
gi|490459399|ref|WP_004330055.1|	hypothetical protein [Alistipes putredinis] 
gi|490459400|ref|WP_004330056.1|	hypothetical protein [Alistipes putredinis] 
gi|490459401|ref|WP_004330057.1|	O-acetylhomoserine aminocarboxypropyltransferase [Alistipes putredinis] 
gi|490459402|ref|WP_004330058.1|	homoserine O-acetyltransferase [Alistipes putredinis] 
gi|490459403|ref|WP_004330059.1|	MULTISPECIES: homoserine dehydrogenase [Alistipes] 
gi|490459404|ref|WP_004330060.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459405|ref|WP_004330061.1|	hypothetical protein [Alistipes putredinis] 
gi|490459406|ref|WP_004330062.1|	hypothetical protein [Alistipes putredinis] 
gi|490459408|ref|WP_004330063.1|	hypothetical protein [Alistipes putredinis] 
gi|490459409|ref|WP_004330064.1|	hypothetical protein [Alistipes putredinis] 
gi|490459410|ref|WP_004330065.1|	hypothetical protein [Alistipes putredinis] 
gi|490459411|ref|WP_004330066.1|	hypothetical protein [Alistipes putredinis] 
gi|490459412|ref|WP_004330067.1|	thiamine biosynthesis protein ThiH [Alistipes putredinis] 
gi|490459413|ref|WP_004330068.1|	GTP-binding protein [Alistipes putredinis] 
gi|490459414|ref|WP_004330069.1|	dihydroorotate dehydrogenase [Alistipes putredinis] 
gi|490459415|ref|WP_004330070.1|	hypothetical protein [Alistipes putredinis] 
gi|490459416|ref|WP_004330071.1|	MULTISPECIES: 50S ribosomal protein L31 [Alistipes] 
gi|490459417|ref|WP_004330072.1|	hypothetical protein [Alistipes putredinis] 
gi|490459418|ref|WP_004330073.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459419|ref|WP_004330074.1|	peptidyl-prolyl cis-trans isomerase [Alistipes putredinis] 
gi|490459420|ref|WP_004330075.1|	peptidyl-prolyl cis-trans isomerase [Alistipes putredinis] 
gi|490459421|ref|WP_004330076.1|	sodium:proton antiporter [Alistipes putredinis] 
gi|490459422|ref|WP_004330077.1|	hypothetical protein [Alistipes putredinis] 
gi|490459423|ref|WP_004330078.1|	hypothetical protein [Alistipes putredinis] 
gi|490459424|ref|WP_004330079.1|	phosphoglycerate kinase [Alistipes putredinis] 
gi|490459425|ref|WP_004330080.1|	dihydroorotate oxidase [Alistipes putredinis] 
gi|490459426|ref|WP_004330081.1|	competence damage-inducible protein A [Alistipes putredinis] 
gi|490459427|ref|WP_004330082.1|	hypothetical protein [Alistipes putredinis] 
gi|490459428|ref|WP_004330083.1|	MULTISPECIES: 50S ribosomal protein L28 [Alistipes] 
gi|490459429|ref|WP_004330084.1|	hypothetical protein [Alistipes putredinis] 
gi|490459430|ref|WP_004330085.1|	MULTISPECIES: cell division protein FtsY [Alistipes] 
gi|490459431|ref|WP_004330086.1|	MULTISPECIES: ribosomal protein S12 methylthiotransferase [Alistipes] 
gi|490459432|ref|WP_004330087.1|	hypothetical protein [Alistipes putredinis] 
gi|490459433|ref|WP_004330088.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459434|ref|WP_004330089.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459436|ref|WP_004330091.1|	ribonuclease [Alistipes putredinis] 
gi|490459438|ref|WP_004330093.1|	phosphohydrolase [Alistipes putredinis] 
gi|490459440|ref|WP_004330094.1|	MULTISPECIES: glycine cleavage system protein T [Alistipes] 
gi|490459441|ref|WP_004330095.1|	hypothetical protein [Alistipes putredinis] 
gi|490459442|ref|WP_004330096.1|	hypothetical protein [Alistipes putredinis] 
gi|490459443|ref|WP_004330097.1|	MULTISPECIES: glutamate dehydrogenase [Alistipes] 
gi|490459444|ref|WP_004330098.1|	hypothetical protein [Alistipes putredinis] 
gi|490459445|ref|WP_004330099.1|	hypothetical protein [Alistipes putredinis] 
gi|490459446|ref|WP_004330100.1|	haloacid dehalogenase [Alistipes putredinis] 
gi|490459447|ref|WP_004330101.1|	MULTISPECIES: rod shape-determining protein RodA [Alistipes] 
gi|490459448|ref|WP_004330102.1|	penicillin-binding protein 2 [Alistipes putredinis] 
gi|490459449|ref|WP_004330103.1|	MULTISPECIES: rod shape-determining protein MreD [Alistipes] 
gi|490459450|ref|WP_004330104.1|	MULTISPECIES: rod shape-determining protein MreC [Alistipes] 
gi|490459451|ref|WP_004330105.1|	MULTISPECIES: rod shape-determining protein MreB [Alistipes] 
gi|490459452|ref|WP_004330106.1|	MULTISPECIES: glycerol-3-phosphate dehydrogenase [Alistipes] 
gi|490459453|ref|WP_004330107.1|	glucose-6-phosphate isomerase [Alistipes putredinis] 
gi|490459454|ref|WP_004330108.1|	hypothetical protein [Alistipes putredinis] 
gi|490459455|ref|WP_004330109.1|	hypothetical protein [Alistipes putredinis] 
gi|490459456|ref|WP_004330110.1|	MULTISPECIES: hisitidine kinase [Alistipes] 
gi|490459457|ref|WP_004330111.1|	MULTISPECIES: histidine kinase [Alistipes] 
gi|490459459|ref|WP_004330112.1|	hypothetical protein [Alistipes putredinis] 
gi|490459460|ref|WP_004330113.1|	stationary phase survival protein SurE [Alistipes putredinis] 
gi|490459461|ref|WP_004330114.1|	50S ribosomal protein L19 [Alistipes putredinis] 
gi|490459462|ref|WP_004330115.1|	hypothetical protein [Alistipes putredinis] 
gi|490459463|ref|WP_004330116.1|	long-chain fatty acid transporter [Alistipes putredinis] 
gi|490459464|ref|WP_004330117.1|	hypothetical protein [Alistipes putredinis] 
gi|490459465|ref|WP_004330118.1|	DNA-directed RNA polymerase subunit beta' [Alistipes putredinis] 
gi|490459466|ref|WP_004330119.1|	MULTISPECIES: DNA-directed RNA polymerase subunit beta [Alistipes] 
gi|490459467|ref|WP_004330120.1|	MULTISPECIES: 50S ribosomal protein L7/L12 [Alistipes] 
gi|490459468|ref|WP_004330121.1|	MULTISPECIES: 50S ribosomal protein L10 [Alistipes] 
gi|490459469|ref|WP_004330122.1|	MULTISPECIES: 50S ribosomal protein L1 [Alistipes] 
gi|490459470|ref|WP_004330123.1|	MULTISPECIES: 50S ribosomal protein L11 [Alistipes] 
gi|490459471|ref|WP_004330124.1|	MULTISPECIES: transcription antitermination protein NusG [Alistipes] 
gi|490459472|ref|WP_004330125.1|	MULTISPECIES: preprotein translocase subunit SecE [Alistipes] 
gi|490459473|ref|WP_004330126.1|	MULTISPECIES: elongation factor Tu [Alistipes] 
gi|490459474|ref|WP_004330127.1|	ATPase [Alistipes putredinis] 
gi|490459475|ref|WP_004330128.1|	hypothetical protein [Alistipes putredinis] 
gi|490459476|ref|WP_004330129.1|	hypothetical protein [Alistipes putredinis] 
gi|490459477|ref|WP_004330130.1|	hypothetical protein [Alistipes putredinis] 
gi|490459478|ref|WP_004330131.1|	hypothetical protein [Alistipes putredinis] 
gi|490459479|ref|WP_004330132.1|	hypothetical protein [Alistipes putredinis] 
gi|490459480|ref|WP_004330133.1|	hypothetical protein [Alistipes putredinis] 
gi|490459481|ref|WP_004330134.1|	hypothetical protein [Alistipes putredinis] 
gi|490459482|ref|WP_004330135.1|	hypothetical protein [Alistipes putredinis] 
gi|490459483|ref|WP_004330136.1|	hypothetical protein [Alistipes putredinis] 
gi|490459484|ref|WP_004330137.1|	membrane protein [Alistipes putredinis] 
gi|490459485|ref|WP_004330138.1|	ABC transporter ATP-binding protein [Alistipes putredinis] 
gi|490459486|ref|WP_004330139.1|	hypothetical protein [Alistipes putredinis] 
gi|490459487|ref|WP_004330140.1|	hypothetical protein [Alistipes putredinis] 
gi|490459488|ref|WP_004330141.1|	hypothetical protein [Alistipes putredinis] 
gi|490459489|ref|WP_004330142.1|	adenylosuccinate lyase [Alistipes putredinis] 
gi|490459490|ref|WP_004330143.1|	hypothetical protein [Alistipes putredinis] 
gi|490459491|ref|WP_004330144.1|	MULTISPECIES: ABC transporter permease [Alistipes] 
gi|490459492|ref|WP_004330145.1|	phosphonate ABC transporter ATP-binding protein [Alistipes putredinis] 
gi|490459493|ref|WP_004330146.1|	glyceraldehyde-3-phosphate dehydrogenase [Alistipes putredinis] 
gi|490459494|ref|WP_004330147.1|	hypothetical protein [Alistipes putredinis] 
gi|490459496|ref|WP_004330149.1|	MULTISPECIES: DNA-binding protein [Alistipes] 
gi|490459498|ref|WP_004330151.1|	MULTISPECIES: 50S ribosomal protein L32 [Alistipes] 
gi|490459500|ref|WP_004330152.1|	MULTISPECIES: phosphate acyltransferase [Alistipes] 
gi|490459501|ref|WP_004330153.1|	3-oxoacyl-ACP synthase [Alistipes putredinis] 
gi|490459502|ref|WP_004330154.1|	hypothetical protein [Alistipes putredinis] 
gi|490459503|ref|WP_004330155.1|	MULTISPECIES: ferritin [Alistipes] 
gi|490459504|ref|WP_004330156.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459505|ref|WP_004330157.1|	hypothetical protein [Alistipes putredinis] 
gi|490459506|ref|WP_004330158.1|	hypothetical protein [Alistipes putredinis] 
gi|490459507|ref|WP_004330159.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490459508|ref|WP_004330160.1|	MULTISPECIES: membrane protein [Alistipes] 
gi|490459509|ref|WP_004330161.1|	MULTISPECIES: acyltransferase [Alistipes] 
gi|490459510|ref|WP_004330162.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459511|ref|WP_004330163.1|	MULTISPECIES: lipid hydroperoxide peroxidase [Alistipes] 
gi|490459512|ref|WP_004330164.1|	hypothetical protein [Alistipes putredinis] 
gi|490459513|ref|WP_004330165.1|	hypothetical protein [Alistipes putredinis] 
gi|490459514|ref|WP_004330166.1|	hypothetical protein [Alistipes putredinis] 
gi|490459515|ref|WP_004330167.1|	hypothetical protein [Alistipes putredinis] 
gi|490459516|ref|WP_004330168.1|	hypothetical protein [Alistipes putredinis] 
gi|490459517|ref|WP_004330169.1|	MULTISPECIES: hypothetical protein [Alistipes] 
gi|490459519|ref|WP_004330170.1|	hypothetical protein [Alistipes putredinis] 
gi|490459520|ref|WP_004330171.1|	hypothetical protein [Alistipes putredinis] 
gi|490459521|ref|WP_004330172.1|	hypothetical protein [Alistipes putredinis] 
gi|490457775|ref|WP_004328501.1|	hypothetical protein [Alistipes putredinis] 
gi|490459522|ref|WP_004330173.1|	hypothetical protein [Alistipes putredinis] 
gi|490459523|ref|WP_004330174.1|	hypothetical protein [Alistipes putredinis] 
gi|490459524|ref|WP_004330175.1|	pantoate--beta-alanine ligase [Alistipes putredinis] 
gi|490459525|ref|WP_004330176.1|	aspartate decarboxylase [Alistipes putredinis] 
gi|490459526|ref|WP_004330177.1|	hypothetical protein [Alistipes putredinis] 
gi|490459527|ref|WP_004330178.1|	peptidase M16 [Alistipes putredinis] 
gi|490459528|ref|WP_004330179.1|	S-adenosyl-L-homocysteine hydrolase [Alistipes putredinis] 
gi|490459529|ref|WP_004330180.1|	hypothetical protein [Alistipes putredinis] 
gi|490459531|ref|WP_004330181.1|	membrane protein [Alistipes putredinis] 
gi|490459535|ref|WP_004330185.1|	MULTISPECIES: phosphatidylserine decarboxylase [Alistipes] 
gi|490459536|ref|WP_004330186.1|	hypothetical protein [Alistipes putredinis] 
gi|490459537|ref|WP_004330187.1|	peptidase M41 [Alistipes putredinis] 
