gi|494978815|ref|WP_007704839.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990301|ref|WP_007716321.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990303|ref|WP_007716323.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990306|ref|WP_007716326.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990308|ref|WP_007716328.1|	glyoxalase [[Clostridium] asparagiforme] 
gi|494990310|ref|WP_007716330.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990313|ref|WP_007716333.1|	beta-galactosidase [[Clostridium] asparagiforme] 
gi|494990316|ref|WP_007716336.1|	glucuronyl hydrolase [[Clostridium] asparagiforme] 
gi|494990319|ref|WP_007716339.1|	PTS sugar transporter subunit IIC [[Clostridium] asparagiforme] 
gi|494990322|ref|WP_007716342.1|	PTS mannose transporter subunit IID [[Clostridium] asparagiforme] 
gi|494990331|ref|WP_007716351.1|	PTS sorbose transporter subunit IIC [[Clostridium] asparagiforme] 
gi|494990333|ref|WP_007716353.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990335|ref|WP_007716355.1|	GntR family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990338|ref|WP_007716358.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990341|ref|WP_007716361.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990343|ref|WP_007716363.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990345|ref|WP_007716365.1|	6-phospho-beta-glucosidase [[Clostridium] asparagiforme] 
gi|494990347|ref|WP_007716367.1|	6-phospho-beta-glucosidase [[Clostridium] asparagiforme] 
gi|494990349|ref|WP_007716369.1|	6-phospho-beta-glucosidase [[Clostridium] asparagiforme] 
gi|494990351|ref|WP_007716371.1|	PTS lactose transporter subunit IIC [[Clostridium] asparagiforme] 
gi|494990353|ref|WP_007716373.1|	PTS cellobiose transporter subunit IIB [[Clostridium] asparagiforme] 
gi|494990355|ref|WP_007716375.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990357|ref|WP_007716377.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990358|ref|WP_007716378.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990359|ref|WP_007716379.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990361|ref|WP_007716381.1|	AraC family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990363|ref|WP_007716383.1|	MULTISPECIES: histidine kinase [Clostridiales] 
gi|494990365|ref|WP_007716385.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990367|ref|WP_007716387.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990369|ref|WP_007716389.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990370|ref|WP_007716390.1|	transketolase [[Clostridium] asparagiforme] 
gi|494990371|ref|WP_007716391.1|	transketolase [[Clostridium] asparagiforme] 
gi|494990373|ref|WP_007716393.1|	fucose isomerase [[Clostridium] asparagiforme] 
gi|494990375|ref|WP_007716395.1|	MULTISPECIES: inosine-uridine preferring nucleoside hydrolase [Clostridiales] 
gi|494990377|ref|WP_007716397.1|	ABC transporter permease [[Clostridium] asparagiforme] 
gi|494990380|ref|WP_007716400.1|	MULTISPECIES: ABC transporter permease [Clostridiales] 
gi|494990382|ref|WP_007716402.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990383|ref|WP_007716403.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990384|ref|WP_007716404.1|	ROK family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990385|ref|WP_007716405.1|	MULTISPECIES: D-ribose transporter ATP binding protein [Clostridiales] 
gi|494990387|ref|WP_007716407.1|	ABC transporter permease [[Clostridium] asparagiforme] 
gi|494990389|ref|WP_007716409.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990391|ref|WP_007716411.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990392|ref|WP_007716412.1|	integrase [[Clostridium] asparagiforme] 
gi|494990394|ref|WP_007716414.1|	excisionase [[Clostridium] asparagiforme] 
gi|494990396|ref|WP_007716416.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990398|ref|WP_007716418.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990400|ref|WP_007716420.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990402|ref|WP_007716422.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990404|ref|WP_007716424.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990406|ref|WP_007716426.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990408|ref|WP_007716428.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990410|ref|WP_007716430.1|	relaxase [[Clostridium] asparagiforme] 
gi|494990412|ref|WP_007716432.1|	succinate dehydrogenase cytochrome b556 subunit [[Clostridium] asparagiforme] 
gi|494990413|ref|WP_007716433.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990414|ref|WP_007716434.1|	mobilization protein [[Clostridium] asparagiforme] 
gi|494990415|ref|WP_007716435.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990416|ref|WP_007716436.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990424|ref|WP_007716444.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990426|ref|WP_007716446.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990428|ref|WP_007716448.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990430|ref|WP_007716450.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990432|ref|WP_007716452.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990434|ref|WP_007716454.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990436|ref|WP_007716456.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990438|ref|WP_007716458.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990440|ref|WP_007716460.1|	DNA topoisomerase III [[Clostridium] asparagiforme] 
gi|494990442|ref|WP_007716462.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990444|ref|WP_007716464.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990446|ref|WP_007716466.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990447|ref|WP_007716467.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990448|ref|WP_007716468.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990449|ref|WP_007716469.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990450|ref|WP_007716470.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990451|ref|WP_007716471.1|	conjugal transfer protein TraE [[Clostridium] asparagiforme] 
gi|494990452|ref|WP_007716472.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990453|ref|WP_007716473.1|	radical SAM protein [[Clostridium] asparagiforme] 
gi|494990454|ref|WP_007716474.1|	membrane protein [[Clostridium] asparagiforme] 
gi|494990456|ref|WP_007716476.1|	conjugative transfer protein [[Clostridium] asparagiforme] 
gi|494990458|ref|WP_007716478.1|	conjugal transfer protein TraG [[Clostridium] asparagiforme] 
gi|494990463|ref|WP_007716483.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990465|ref|WP_007716485.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990468|ref|WP_007716488.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990469|ref|WP_007716489.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990471|ref|WP_007716491.1|	diguanylate cyclase [[Clostridium] asparagiforme] 
gi|494990473|ref|WP_007716493.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990475|ref|WP_007716495.1|	plasmid stablization protein ParB [[Clostridium] asparagiforme] 
gi|494990477|ref|WP_007716497.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990479|ref|WP_007716499.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990481|ref|WP_007716501.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990483|ref|WP_007716503.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990485|ref|WP_007716505.1|	asparagine synthase [[Clostridium] asparagiforme] 
gi|494990491|ref|WP_007716511.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990493|ref|WP_007716513.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990494|ref|WP_007716514.1|	1-(5-phosphoribosyl)-5-amino-4-imidazole-carboxylate carboxylase [[Clostridium] asparagiforme] 
gi|494990495|ref|WP_007716515.1|	nickel ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494990496|ref|WP_007716516.1|	peptide ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494990501|ref|WP_007716521.1|	peptide ABC transporter permease [[Clostridium] asparagiforme] 
gi|494990502|ref|WP_007716522.1|	ABC transporter permease [[Clostridium] asparagiforme] 
gi|494990503|ref|WP_007716523.1|	ABC transporter substrate-binding protein [[Clostridium] asparagiforme] 
gi|494990504|ref|WP_007716524.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990505|ref|WP_007716525.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990509|ref|WP_007716529.1|	haloacid dehalogenase [[Clostridium] asparagiforme] 
gi|494990513|ref|WP_007716533.1|	N-acetylglucosamine-6-phosphate deacetylase [[Clostridium] asparagiforme] 
gi|494990516|ref|WP_007716536.1|	6-phospho-alpha-glucosidase [[Clostridium] asparagiforme] 
gi|494990518|ref|WP_007716538.1|	PTS glucose transporter subunit IIA [[Clostridium] asparagiforme] 
gi|494990520|ref|WP_007716540.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990521|ref|WP_007716541.1|	fumarate lyase [[Clostridium] asparagiforme] 
gi|494990522|ref|WP_007716542.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990523|ref|WP_007716543.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990524|ref|WP_007716544.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990525|ref|WP_007716545.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990526|ref|WP_007716546.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990527|ref|WP_007716547.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990529|ref|WP_007716549.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990531|ref|WP_007716551.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990533|ref|WP_007716553.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990535|ref|WP_007716555.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990536|ref|WP_007716556.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990537|ref|WP_007716557.1|	macrolide ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494990538|ref|WP_007716558.1|	ABC transporter permease [[Clostridium] asparagiforme] 
gi|494990539|ref|WP_007716559.1|	sensor histidine kinase [[Clostridium] asparagiforme] 
gi|494990541|ref|WP_007716561.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990543|ref|WP_007716563.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990545|ref|WP_007716565.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990546|ref|WP_007716566.1|	acetyltransferase [[Clostridium] asparagiforme] 
gi|494990556|ref|WP_007716576.1|	MULTISPECIES: nitrogen-fixing protein NifU [Clostridiales] 
gi|494990562|ref|WP_007716582.1|	cysteine desulfurase [[Clostridium] asparagiforme] 
gi|494990563|ref|WP_007716583.1|	FeS assembly protein SufD [[Clostridium] asparagiforme] 
gi|494990565|ref|WP_007716585.1|	Fe-S cluster assembly protein SufB [[Clostridium] asparagiforme] 
gi|494990573|ref|WP_007716593.1|	ABC transporter ATP-binding protein [[Clostridium] asparagiforme] 
gi|494990574|ref|WP_007716594.1|	Rrf2 family transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990575|ref|WP_007716595.1|	beta-lactamase [[Clostridium] asparagiforme] 
gi|494990576|ref|WP_007716596.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990577|ref|WP_007716597.1|	RNA polymerase sigma 70 [[Clostridium] asparagiforme] 
gi|494990579|ref|WP_007716599.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990581|ref|WP_007716601.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990585|ref|WP_007716605.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990586|ref|WP_007716606.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990587|ref|WP_007716607.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990588|ref|WP_007716608.1|	transcriptional regulator [[Clostridium] asparagiforme] 
gi|494990590|ref|WP_007716610.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990592|ref|WP_007716612.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990595|ref|WP_007716615.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990596|ref|WP_007716616.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990597|ref|WP_007716617.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990598|ref|WP_007716618.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990600|ref|WP_007716620.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990602|ref|WP_007716622.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990605|ref|WP_007716625.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990608|ref|WP_007716628.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990611|ref|WP_007716631.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990612|ref|WP_007716632.1|	amidohydrolase [[Clostridium] asparagiforme] 
gi|494990614|ref|WP_007716634.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990617|ref|WP_007716637.1|	diaminopropionate ammonia-lyase [[Clostridium] asparagiforme] 
gi|494990619|ref|WP_007716639.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990621|ref|WP_007716641.1|	plasmid stabilization protein [[Clostridium] asparagiforme] 
gi|494990624|ref|WP_007716644.1|	prevent-host-death protein [[Clostridium] asparagiforme] 
gi|494990626|ref|WP_007716646.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|488631237|ref|WP_002567924.1|	MULTISPECIES: hydrolase [Clostridiales] 
gi|494990640|ref|WP_007716660.1|	MULTISPECIES: multidrug transporter MatE [Clostridiales] 
gi|494990643|ref|WP_007716663.1|	MULTISPECIES: aldehyde oxidase [Clostridiales] 
gi|494990645|ref|WP_007716665.1|	(2Fe-2S)-binding protein [[Clostridium] asparagiforme] 
gi|494990648|ref|WP_007716668.1|	molybdopterin dehydrogenase [[Clostridium] asparagiforme] 
gi|494990651|ref|WP_007716671.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990654|ref|WP_007716674.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990656|ref|WP_007716676.1|	aldo/keto reductase [[Clostridium] asparagiforme] 
gi|494990658|ref|WP_007716678.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990660|ref|WP_007716680.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990662|ref|WP_007716682.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990664|ref|WP_007716684.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990666|ref|WP_007716686.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990667|ref|WP_007716687.1|	MULTISPECIES: fucose isomerase [Clostridiales] 
gi|494990668|ref|WP_007716688.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990669|ref|WP_007716689.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990670|ref|WP_007716690.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990671|ref|WP_007716691.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990672|ref|WP_007716692.1|	peptidoglycan glycosyltransferase [[Clostridium] asparagiforme] 
gi|494990673|ref|WP_007716693.1|	cell division protein FtsW [[Clostridium] asparagiforme] 
gi|494990674|ref|WP_007716694.1|	peptidase U32 [[Clostridium] asparagiforme] 
gi|494990675|ref|WP_007716695.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990676|ref|WP_007716696.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990677|ref|WP_007716697.1|	MULTISPECIES: Holliday junction DNA helicase RuvB [Clostridiales] 
gi|494990678|ref|WP_007716698.1|	Holliday junction DNA helicase RuvA [[Clostridium] asparagiforme] 
gi|494990679|ref|WP_007716699.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990680|ref|WP_007716700.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990682|ref|WP_007716702.1|	MULTISPECIES: XRE family transcriptional regulator [Clostridiales] 
gi|494990685|ref|WP_007716705.1|	DNA polymerase [[Clostridium] asparagiforme] 
gi|494990687|ref|WP_007716707.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990689|ref|WP_007716709.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990691|ref|WP_007716711.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990693|ref|WP_007716713.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990695|ref|WP_007716715.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990696|ref|WP_007716716.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990697|ref|WP_007716717.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990698|ref|WP_007716718.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990699|ref|WP_007716719.1|	hypothetical protein partial [[Clostridium] asparagiforme] 
gi|494990700|ref|WP_007716720.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|494990707|ref|WP_007716727.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990709|ref|WP_007716729.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990711|ref|WP_007716731.1|	2-enoate reductase [[Clostridium] asparagiforme] 
gi|494990713|ref|WP_007716733.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990715|ref|WP_007716735.1|	hypothetical protein [[Clostridium] asparagiforme] 
gi|494990717|ref|WP_007716737.1|	iron ABC transporter permease [[Clostridium] asparagiforme] 
gi|494990719|ref|WP_007716739.1|	CRISPR-associated protein Cas5 [[Clostridium] asparagiforme] 
gi|494990721|ref|WP_007716741.1|	MULTISPECIES: iron ABC transporter ATP-binding protein [Clostridiales] 
gi|494990726|ref|WP_007716746.1|	ABC transporter substrate-binding protein [[Clostridium] asparagiforme] 
