gi|493900435|ref|WP_006846241.1|	hypothetical protein [Prevotella copri] 
gi|493903440|ref|WP_006849163.1|	branched-chain amino acid aminotransferase [Prevotella copri] 
gi|493903441|ref|WP_006849164.1|	hypothetical protein [Prevotella copri] 
gi|493903442|ref|WP_006849165.1|	sodium:proton antiporter [Prevotella copri] 
gi|493903443|ref|WP_006849166.1|	membrane protein [Prevotella copri] 
gi|493903444|ref|WP_006849167.1|	membrane protein [Prevotella copri] 
gi|493903445|ref|WP_006849168.1|	hemolysin secretion protein D [Prevotella copri] 
gi|493903446|ref|WP_006849169.1|	alkaline protease [Prevotella copri] 
gi|493903447|ref|WP_006849170.1|	hypothetical protein [Prevotella copri] 
gi|493903449|ref|WP_006849171.1|	hydrolase [Prevotella copri] 
gi|493903450|ref|WP_006849172.1|	hypothetical protein [Prevotella copri] 
gi|493903451|ref|WP_006849173.1|	RagA protein [Prevotella copri] 
gi|493903452|ref|WP_006849174.1|	membrane protein [Prevotella copri] 
gi|493903453|ref|WP_006849175.1|	hypothetical protein [Prevotella copri] 
gi|493903454|ref|WP_006849176.1|	protein ultraspiracle-like protein [Prevotella copri] 
gi|493903455|ref|WP_006849177.1|	hypothetical protein [Prevotella copri] 
gi|493903456|ref|WP_006849178.1|	collagen-binding protein [Prevotella copri] 
gi|493903457|ref|WP_006849179.1|	RagB SusD protein [Prevotella copri] 
gi|493903458|ref|WP_006849180.1|	hypothetical protein [Prevotella copri] 
gi|493903459|ref|WP_006849181.1|	ribonuclease HII [Prevotella copri] 
gi|493903460|ref|WP_006849182.1|	hypothetical protein [Prevotella copri] 
gi|493903461|ref|WP_006849183.1|	hypothetical protein [Prevotella copri] 
gi|493903462|ref|WP_006849184.1|	cysteine desulfurase [Prevotella copri] 
gi|493903463|ref|WP_006849185.1|	ABC transporter permease [Prevotella copri] 
gi|493903464|ref|WP_006849186.1|	transporter [Prevotella copri] 
gi|493903465|ref|WP_006849187.1|	cysteine desulfurase activator complex subunit SufB [Prevotella copri] 
gi|493903466|ref|WP_006849188.1|	translation initiation factor IF-2 [Prevotella copri] 
gi|493903467|ref|WP_006849189.1|	transcription elongation factor NusA [Prevotella copri] 
gi|493903468|ref|WP_006849190.1|	MULTISPECIES: hypothetical protein [Prevotella] 
gi|493903469|ref|WP_006849191.1|	peptidase S41 [Prevotella copri] 
gi|493903470|ref|WP_006849192.1|	hypothetical protein [Prevotella copri] 
gi|493903471|ref|WP_006849193.1|	polynucleotide phosphorylase [Prevotella copri] 
gi|493903472|ref|WP_006849194.1|	hypothetical protein [Prevotella copri] 
gi|493903473|ref|WP_006849195.1|	9-O-acetylesterase [Prevotella copri] 
gi|493903474|ref|WP_006849196.1|	MULTISPECIES: DNA mismatch repair protein MutT [Prevotella] 
gi|493903475|ref|WP_006849197.1|	hypothetical protein [Prevotella copri] 
gi|493903476|ref|WP_006849198.1|	DNA topoisomerase I [Prevotella copri] 
gi|493903477|ref|WP_006849199.1|	MULTISPECIES: shikimate kinase [Prevotella] 
gi|493903478|ref|WP_006849200.1|	arginine decarboxylase [Prevotella copri] 
gi|493903479|ref|WP_006849201.1|	acetylglutamate kinase [Prevotella copri] 
gi|493903480|ref|WP_006849202.1|	RNA polymerase sigma70 factor [Prevotella copri] 
gi|493903481|ref|WP_006849203.1|	pyruvate:ferredoxin oxidoreductase [Prevotella copri] 
gi|493903482|ref|WP_006849204.1|	hypothetical two-component system sensor kinase [Prevotella copri] 
gi|493903483|ref|WP_006849205.1|	hypothetical protein [Prevotella copri] 
gi|493903484|ref|WP_006849206.1|	CAAX amino terminal protease [Prevotella copri] 
gi|493903485|ref|WP_006849207.1|	riboflavin biosynthesis protein RibF [Prevotella copri] 
gi|493903486|ref|WP_006849208.1|	haloacid dehalogenase [Prevotella copri] 
gi|493903487|ref|WP_006849209.1|	hypothetical protein [Prevotella copri] 
gi|493903488|ref|WP_006849210.1|	hypothetical protein [Prevotella copri] 
gi|493903490|ref|WP_006849211.1|	DNA-binding protein [Prevotella copri] 
gi|493903491|ref|WP_006849212.1|	hypothetical protein [Prevotella copri] 
gi|493903492|ref|WP_006849213.1|	hypothetical protein [Prevotella copri] 
gi|493903493|ref|WP_006849214.1|	hypothetical protein [Prevotella copri] 
gi|493903494|ref|WP_006849215.1|	hypothetical protein [Prevotella copri] 
gi|493903495|ref|WP_006849216.1|	hypothetical protein [Prevotella copri] 
gi|493903496|ref|WP_006849217.1|	hypothetical protein [Prevotella copri] 
gi|493903497|ref|WP_006849218.1|	hypothetical protein [Prevotella copri] 
gi|493903498|ref|WP_006849219.1|	hypothetical protein [Prevotella copri] 
gi|493903499|ref|WP_006849220.1|	putative ParA-related protein [Prevotella copri] 
gi|493903500|ref|WP_006849221.1|	hypothetical protein [Prevotella copri] 
gi|493903501|ref|WP_006849222.1|	hypothetical protein [Prevotella copri] 
gi|493903502|ref|WP_006849223.1|	mobilization protein [Prevotella copri] 
gi|493903503|ref|WP_006849224.1|	putative mobilization protein BmgB [Prevotella copri] 
gi|493903504|ref|WP_006849225.1|	hypothetical protein [Prevotella copri] 
gi|493903505|ref|WP_006849226.1|	hypothetical protein [Prevotella copri] 
gi|493903506|ref|WP_006849227.1|	hypothetical protein [Prevotella copri] 
gi|493903507|ref|WP_006849228.1|	hypothetical protein [Prevotella copri] 
gi|493903508|ref|WP_006849229.1|	hypothetical protein [Prevotella copri] 
gi|493903509|ref|WP_006849230.1|	DNA-binding protein [Prevotella copri] 
gi|493903510|ref|WP_006849231.1|	hypothetical protein [Prevotella copri] 
gi|493903511|ref|WP_006849232.1|	hypothetical protein [Prevotella copri] 
gi|493903512|ref|WP_006849233.1|	hypothetical protein [Prevotella copri] 
gi|493903513|ref|WP_006849234.1|	recombinase [Prevotella copri] 
gi|493903514|ref|WP_006849235.1|	hypothetical protein [Prevotella copri] 
gi|493903515|ref|WP_006849236.1|	hypothetical protein [Prevotella copri] 
gi|493903516|ref|WP_006849237.1|	ATPase P [Prevotella copri] 
gi|493903517|ref|WP_006849238.1|	nucleotide pyrophosphatase [Prevotella copri] 
gi|493903518|ref|WP_006849239.1|	leucyl/phenylalanyl-tRNA--protein transferase [Prevotella copri] 
gi|493903519|ref|WP_006849240.1|	ATP-dependent Clp protease ClpA [Prevotella copri] 
gi|493903520|ref|WP_006849241.1|	MULTISPECIES: ATP-dependent Clp protease ClpS [Prevotella] 
gi|493903521|ref|WP_006849242.1|	hypothetical protein [Prevotella copri] 
gi|493903522|ref|WP_006849243.1|	hypothetical protein [Prevotella copri] 
gi|493903523|ref|WP_006849244.1|	TonB-dependent receptor [Prevotella copri] 
gi|493903525|ref|WP_006849245.1|	cation transporter [Prevotella copri] 
gi|493903526|ref|WP_006849246.1|	hypothetical protein [Prevotella copri] 
gi|493903527|ref|WP_006849247.1|	ATPase AAA [Prevotella copri] 
gi|493903528|ref|WP_006849248.1|	hypothetical protein [Prevotella copri] 
gi|493903529|ref|WP_006849249.1|	hypothetical protein [Prevotella copri] 
gi|493903530|ref|WP_006849250.1|	membrane protein [Prevotella copri] 
gi|493903531|ref|WP_006849251.1|	polysaccharide biosynthesis protein [Prevotella copri] 
gi|493903532|ref|WP_006849252.1|	hypothetical protein [Prevotella copri] 
gi|493903533|ref|WP_006849253.1|	hypothetical protein [Prevotella copri] 
gi|493903534|ref|WP_006849254.1|	integrase [Prevotella copri] 
gi|493903535|ref|WP_006849255.1|	cell filamentation protein Fic-related protein [Prevotella copri] 
gi|493903536|ref|WP_006849256.1|	peptidase S10 [Prevotella copri] 
gi|493903537|ref|WP_006849257.1|	beta-glycosidase [Prevotella copri] 
gi|493903538|ref|WP_006849258.1|	ATPase AAA [Prevotella copri] 
gi|493903539|ref|WP_006849259.1|	hypothetical protein [Prevotella copri] 
gi|493903540|ref|WP_006849260.1|	transposase [Prevotella copri] 
gi|493903541|ref|WP_006849261.1|	hypothetical protein [Prevotella copri] 
gi|493903542|ref|WP_006849262.1|	hypothetical protein partial [Prevotella copri] 
gi|493903543|ref|WP_006849263.1|	ISPg3 transposase partial [Prevotella copri] 
gi|493903544|ref|WP_006849264.1|	capsular polysaccharide biosynthesis protein [Prevotella copri] 
gi|493903545|ref|WP_006849265.1|	XRE family transcriptional regulator [Prevotella copri] 
gi|493903546|ref|WP_006849266.1|	single-stranded DNA-binding protein [Prevotella copri] 
gi|493903547|ref|WP_006849267.1|	putative protein FAM71E2 [Prevotella copri] 
gi|493903548|ref|WP_006849268.1|	hypothetical protein [Prevotella copri] 
gi|493903549|ref|WP_006849269.1|	hypothetical protein [Prevotella copri] 
gi|493903550|ref|WP_006849270.1|	hypothetical protein [Prevotella copri] 
gi|493903551|ref|WP_006849271.1|	hypothetical protein [Prevotella copri] 
gi|493903552|ref|WP_006849272.1|	hypothetical protein [Prevotella copri] 
gi|493903553|ref|WP_006849273.1|	hypothetical protein [Prevotella copri] 
gi|493903554|ref|WP_006849274.1|	hypothetical protein [Prevotella copri] 
gi|493903556|ref|WP_006849275.1|	hypothetical protein [Prevotella copri] 
gi|493903557|ref|WP_006849276.1|	initiator RepB protein [Prevotella copri] 
gi|493903558|ref|WP_006849277.1|	transposase [Prevotella copri] 
gi|493903559|ref|WP_006849278.1|	hypothetical protein [Prevotella copri] 
gi|493903560|ref|WP_006849279.1|	type III restriction endonuclease [Prevotella copri] 
gi|493903561|ref|WP_006849280.1|	type III restriction endonuclease [Prevotella copri] 
gi|493903562|ref|WP_006849281.1|	type III restriction endonuclease subunit M [Prevotella copri] 
gi|493903563|ref|WP_006849282.1|	fic family protein partial [Prevotella copri] 
gi|493903564|ref|WP_006849283.1|	hypothetical protein [Prevotella copri] 
gi|493903565|ref|WP_006849284.1|	membrane protein [Prevotella copri] 
gi|493903566|ref|WP_006849285.1|	metallo-beta-lactamase [Prevotella copri] 
gi|493903567|ref|WP_006849286.1|	hypothetical protein [Prevotella copri] 
gi|493903568|ref|WP_006849287.1|	membrane protein [Prevotella copri] 
gi|493903569|ref|WP_006849288.1|	toxin-antitoxin system toxin component PIN family [Prevotella copri] 
gi|493903570|ref|WP_006849289.1|	toxin-antitoxin system protein [Prevotella copri] 
gi|493903571|ref|WP_006849290.1|	RNA methyltransferase [Prevotella copri] 
gi|493903572|ref|WP_006849291.1|	PTS system beta-glucoside-specific IIABC component [Prevotella copri] 
gi|493903573|ref|WP_006849292.1|	MULTISPECIES: imidazoleglycerol-phosphate dehydratase [Prevotella] 
gi|493903574|ref|WP_006849293.1|	porin [Prevotella copri] 
gi|493903575|ref|WP_006849294.1|	hypothetical protein [Prevotella copri] 
gi|493903576|ref|WP_006849295.1|	RNA polymerase sigma-70 factor ECF subfamily [Prevotella copri] 
gi|493903577|ref|WP_006849296.1|	hypothetical protein [Prevotella copri] 
gi|493903578|ref|WP_006849297.1|	hypothetical protein [Prevotella copri] 
gi|493903579|ref|WP_006849298.1|	chemotaxis protein CheY [Prevotella copri] 
gi|493903580|ref|WP_006849299.1|	putative histidine kinase [Prevotella copri] 
gi|493903581|ref|WP_006849300.1|	hypothetical protein [Prevotella copri] 
gi|493903582|ref|WP_006849301.1|	peptidylprolyl isomerase [Prevotella copri] 
gi|493903583|ref|WP_006849302.1|	flavoprotein [Prevotella copri] 
gi|493903584|ref|WP_006849303.1|	membrane protein [Prevotella copri] 
gi|493903585|ref|WP_006849304.1|	transposase [Prevotella copri] 
gi|493902116|ref|WP_006847878.1|	hypothetical protein [Prevotella copri] 
gi|493903586|ref|WP_006849305.1|	putative TonB-dependent receptor [Prevotella copri] 
gi|493903587|ref|WP_006849306.1|	hypothetical protein [Prevotella copri] 
gi|493903589|ref|WP_006849307.1|	hypothetical protein [Prevotella copri] 
gi|493903590|ref|WP_006849308.1|	RNA polymerase sigma factor sigma-70 family [Prevotella copri] 
gi|493903591|ref|WP_006849309.1|	putative metalloendopeptidase G1-type [Prevotella copri] 
gi|493903592|ref|WP_006849310.1|	hypothetical protein [Prevotella copri] 
gi|493903593|ref|WP_006849311.1|	XRE family transcriptional regulator [Prevotella copri] 
gi|493903594|ref|WP_006849312.1|	nucleotidyltransferase [Prevotella copri] 
gi|493903595|ref|WP_006849313.1|	putative toxin-antitoxin system antitoxin component [Prevotella copri] 
gi|493903596|ref|WP_006849314.1|	putative TonB-dependent receptor [Prevotella copri] 
gi|493903597|ref|WP_006849315.1|	toxin-antitoxin system antitoxin component HicB family [Prevotella copri] 
gi|493903598|ref|WP_006849316.1|	hypothetical protein [Prevotella copri] 
gi|493903599|ref|WP_006849317.1|	hypothetical protein [Prevotella copri] 
gi|493903600|ref|WP_006849318.1|	transposase [Prevotella copri] 
gi|493903601|ref|WP_006849319.1|	hypothetical protein [Prevotella copri] 
gi|493903602|ref|WP_006849320.1|	hypothetical protein [Prevotella copri] 
gi|493903603|ref|WP_006849321.1|	hypothetical protein [Prevotella copri] 
gi|493903604|ref|WP_006849322.1|	RNA polymerase [Prevotella copri] 
gi|493903605|ref|WP_006849323.1|	Fe-S oxidoreductase [Prevotella copri] 
gi|493903606|ref|WP_006849324.1|	putative pyridoxal kinase [Prevotella copri] 
gi|493903607|ref|WP_006849325.1|	membrane protein [Prevotella copri] 
gi|493903608|ref|WP_006849326.1|	hypothetical protein [Prevotella copri] 
gi|493903609|ref|WP_006849327.1|	transposase [Prevotella copri] 
gi|493903610|ref|WP_006849328.1|	ferritin [Prevotella copri] 
gi|493903611|ref|WP_006849329.1|	toxin [Prevotella copri] 
gi|493903612|ref|WP_006849330.1|	hypothetical protein [Prevotella copri] 
gi|493903613|ref|WP_006849331.1|	hypothetical protein [Prevotella copri] 
gi|493903614|ref|WP_006849332.1|	hypothetical protein [Prevotella copri] 
gi|493903615|ref|WP_006849333.1|	putative protein Tat [Prevotella copri] 
gi|493903616|ref|WP_006849334.1|	hypothetical protein [Prevotella copri] 
gi|493903617|ref|WP_006849335.1|	hypothetical protein [Prevotella copri] 
gi|493903618|ref|WP_006849336.1|	putative 50S ribosomal protein L27 [Prevotella copri] 
gi|493903620|ref|WP_006849337.1|	transposase [Prevotella copri] 
gi|493903621|ref|WP_006849338.1|	hypothetical protein [Prevotella copri] 
gi|493903622|ref|WP_006849339.1|	hypothetical protein [Prevotella copri] 
gi|493903623|ref|WP_006849340.1|	flavin oxidoreductase [Prevotella copri] 
gi|493903624|ref|WP_006849341.1|	Metal dependent hydrolase [Prevotella copri] 
gi|492344592|ref|WP_005816310.1|	MULTISPECIES: transcriptional regulator [Bacteroidales] 
gi|493903625|ref|WP_006849342.1|	hypothetical protein [Prevotella copri] 
gi|493903626|ref|WP_006849343.1|	hypothetical protein [Prevotella copri] 
gi|493903627|ref|WP_006849344.1|	alcohol dehydrogenase [Prevotella copri] 
gi|493903628|ref|WP_006849345.1|	carboxylesterase [Prevotella copri] 
gi|493903629|ref|WP_006849346.1|	hypothetical protein partial [Prevotella copri] 
gi|493903631|ref|WP_006849347.1|	hypothetical protein partial [Prevotella copri] 
gi|493903632|ref|WP_006849348.1|	hypothetical protein [Prevotella copri] 
gi|493903633|ref|WP_006849349.1|	hypothetical protein [Prevotella copri] 
gi|493903634|ref|WP_006849350.1|	gluconate dehydrogenase [Prevotella copri] 
gi|493903635|ref|WP_006849351.1|	hypothetical protein [Prevotella copri] 
gi|493903636|ref|WP_006849352.1|	hypothetical protein [Prevotella copri] 
gi|493903637|ref|WP_006849353.1|	hypothetical protein [Prevotella copri] 
gi|493903638|ref|WP_006849354.1|	transposase [Prevotella copri] 
gi|493903639|ref|WP_006849355.1|	transporter [Prevotella copri] 
gi|493903640|ref|WP_006849356.1|	succinylglutamate desuccinylase [Prevotella copri] 
gi|493903641|ref|WP_006849357.1|	succinylglutamate desuccinylase [Prevotella copri] 
gi|493903642|ref|WP_006849358.1|	hypothetical protein [Prevotella copri] 
gi|493903643|ref|WP_006849359.1|	hypothetical protein [Prevotella copri] 
gi|493903644|ref|WP_006849360.1|	UDP-N-acetylmuramate dehydrogenase [Prevotella copri] 
gi|493903645|ref|WP_006849361.1|	hypothetical protein [Prevotella copri] 
gi|493903646|ref|WP_006849362.1|	thioredoxin [Prevotella copri] 
gi|493903647|ref|WP_006849363.1|	hypothetical protein [Prevotella copri] 
gi|493903648|ref|WP_006849364.1|	sodium:proton antiporter [Prevotella copri] 
gi|493903649|ref|WP_006849365.1|	hypothetical protein [Prevotella copri] 
gi|493903650|ref|WP_006849366.1|	rubrerythrin [Prevotella copri] 
gi|493903651|ref|WP_006849367.1|	adenine glycosylase [Prevotella copri] 
gi|493903652|ref|WP_006849368.1|	mechanosensitive ion channel protein [Prevotella copri] 
gi|493903653|ref|WP_006849369.1|	D-alanyl-D-alanine carboxypeptidase [Prevotella copri] 
gi|493903654|ref|WP_006849370.1|	hypothetical protein [Prevotella copri] 
gi|493903655|ref|WP_006849371.1|	L-aspartate oxidase [Prevotella copri] 
gi|493903656|ref|WP_006849372.1|	gliding motility protein [Prevotella copri] 
gi|493903657|ref|WP_006849373.1|	Holliday junction DNA helicase RuvA [Prevotella copri] 
gi|493903658|ref|WP_006849374.1|	MULTISPECIES: oxidoreductase [Prevotella] 
gi|493903659|ref|WP_006849375.1|	membrane protein [Prevotella copri] 
gi|493903660|ref|WP_006849376.1|	thioredoxin family protein [Prevotella copri] 
gi|493903661|ref|WP_006849377.1|	starch-binding protein [Prevotella copri] 
gi|493903662|ref|WP_006849378.1|	collagen-binding protein [Prevotella copri] 
gi|493903663|ref|WP_006849379.1|	putative anti-sigma factor [Prevotella copri] 
gi|493903664|ref|WP_006849380.1|	RNA polymerase ECF-type sigma factor [Prevotella copri] 
gi|493903665|ref|WP_006849381.1|	aminopeptidase [Prevotella copri] 
gi|493903666|ref|WP_006849382.1|	1-deoxy-D-xylulose-5-phosphate synthase [Prevotella copri] 
gi|493903667|ref|WP_006849383.1|	potassium transporter TrkA [Prevotella copri] 
gi|493903668|ref|WP_006849384.1|	potassium transporter [Prevotella copri] 
gi|493903669|ref|WP_006849385.1|	ABC transporter ATP-binding protein [Prevotella copri] 
gi|493903670|ref|WP_006849386.1|	ABC transporter ATP-binding protein [Prevotella copri] 
gi|493903671|ref|WP_006849387.1|	membrane protein [Prevotella copri] 
gi|493903673|ref|WP_006849388.1|	lactate permease [Prevotella copri] 
gi|493903674|ref|WP_006849389.1|	hypothetical protein [Prevotella copri] 
gi|493903675|ref|WP_006849390.1|	RNA polymerase sigma-70 factor ECF subfamily [Prevotella copri] 
gi|493903676|ref|WP_006849391.1|	ISPg3 transposase partial [Prevotella copri] 
gi|493903677|ref|WP_006849392.1|	ISPg3 transposase partial [Prevotella copri] 
gi|493903678|ref|WP_006849393.1|	hypothetical protein [Prevotella copri] 
gi|493903679|ref|WP_006849394.1|	hypothetical protein [Prevotella copri] 
gi|493903680|ref|WP_006849395.1|	hypothetical protein partial [Prevotella copri] 
gi|493903681|ref|WP_006849396.1|	hypothetical protein [Prevotella copri] 
gi|493903682|ref|WP_006849397.1|	hypothetical protein [Prevotella copri] 
gi|493903683|ref|WP_006849398.1|	hypothetical protein [Prevotella copri] 
gi|493903684|ref|WP_006849399.1|	hypothetical protein partial [Prevotella copri] 
gi|493903685|ref|WP_006849400.1|	transposase family protein partial [Prevotella copri] 
gi|493903686|ref|WP_006849401.1|	hypothetical protein [Prevotella copri] 
gi|493903687|ref|WP_006849402.1|	modification methylase EcoRI [Prevotella copri] 
