gi|489886408|ref|WP_003789858.1|	amino acid carrier protein [Actinomyces odontolyticus] 
gi|489889741|ref|WP_003793191.1|	manganese transporter [Actinomyces odontolyticus] 
gi|489889743|ref|WP_003793193.1|	ribose 5-phosphate isomerase [Actinomyces odontolyticus] 
gi|489889745|ref|WP_003793195.1|	sodium:proton antiporter [Actinomyces odontolyticus] 
gi|489889747|ref|WP_003793197.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889749|ref|WP_003793199.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889750|ref|WP_003793200.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889753|ref|WP_003793203.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889755|ref|WP_003793205.1|	XRE family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889756|ref|WP_003793206.1|	XRE family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889758|ref|WP_003793208.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889760|ref|WP_003793210.1|	glycerophosphodiester phosphodiesterase [Actinomyces odontolyticus] 
gi|489889761|ref|WP_003793211.1|	peptidase M23 [Actinomyces odontolyticus] 
gi|489889763|ref|WP_003793213.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889766|ref|WP_003793216.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889768|ref|WP_003793218.1|	alpha-ketoglutarate decarboxylase [Actinomyces odontolyticus] 
gi|489889770|ref|WP_003793220.1|	lysophospholipase [Actinomyces odontolyticus] 
gi|489889773|ref|WP_003793223.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889775|ref|WP_003793225.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889777|ref|WP_003793227.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889779|ref|WP_003793229.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889780|ref|WP_003793230.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889783|ref|WP_003793233.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889786|ref|WP_003793236.1|	alpha/beta hydrolase [Actinomyces odontolyticus] 
gi|489889788|ref|WP_003793238.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889790|ref|WP_003793240.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889792|ref|WP_003793242.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889793|ref|WP_003793243.1|	RNA polymerase sigma factor RpoE [Actinomyces odontolyticus] 
gi|489889795|ref|WP_003793245.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889797|ref|WP_003793247.1|	3-phosphoshikimate 1-carboxyvinyltransferase [Actinomyces odontolyticus] 
gi|489889801|ref|WP_003793251.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889803|ref|WP_003793253.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889806|ref|WP_003793256.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889807|ref|WP_003793257.1|	glutamine amidotransferase [Actinomyces odontolyticus] 
gi|489889810|ref|WP_003793260.1|	metallophosphatase [Actinomyces odontolyticus] 
gi|489889812|ref|WP_003793262.1|	ATP-dependent dsDNA exonuclease SbcC [Actinomyces odontolyticus] 
gi|489889814|ref|WP_003793264.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889817|ref|WP_003793267.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489889820|ref|WP_003793270.1|	flagellar protein FlgA [Actinomyces odontolyticus] 
gi|489889821|ref|WP_003793271.1|	excisionase [Actinomyces odontolyticus] 
gi|489889823|ref|WP_003793273.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889825|ref|WP_003793275.1|	peptidoglycan-binding protein [Actinomyces odontolyticus] 
gi|489889827|ref|WP_003793277.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889830|ref|WP_003793280.1|	preprotein translocase subunit SecA [Actinomyces odontolyticus] 
gi|489889832|ref|WP_003793282.1|	30S ribosomal protein S30 [Actinomyces odontolyticus] 
gi|489889834|ref|WP_003793284.1|	competence protein ComF [Actinomyces odontolyticus] 
gi|489889836|ref|WP_003793286.1|	sporulation protein [Actinomyces odontolyticus] 
gi|489889838|ref|WP_003793288.1|	histidine kinase [Actinomyces odontolyticus] 
gi|489889841|ref|WP_003793291.1|	XRE family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889843|ref|WP_003793293.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889845|ref|WP_003793295.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889847|ref|WP_003793297.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889848|ref|WP_003793298.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489889850|ref|WP_003793300.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889851|ref|WP_003793301.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889853|ref|WP_003793303.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889855|ref|WP_003793305.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889856|ref|WP_003793306.1|	peptidase [Actinomyces odontolyticus] 
gi|489889858|ref|WP_003793308.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889861|ref|WP_003793311.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889862|ref|WP_003793312.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889864|ref|WP_003793314.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889866|ref|WP_003793316.1|	glycosyltransferase family 2 [Actinomyces odontolyticus] 
gi|489889868|ref|WP_003793318.1|	dTDP-glucose 4,6-dehydratase [Actinomyces odontolyticus] 
gi|489889870|ref|WP_003793320.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889872|ref|WP_003793322.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889874|ref|WP_003793324.1|	glycosyltransferase family 2 [Actinomyces odontolyticus] 
gi|489889875|ref|WP_003793325.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889877|ref|WP_003793327.1|	ABC transporter ATP-binding protein [Actinomyces odontolyticus] 
gi|489889879|ref|WP_003793329.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889881|ref|WP_003793331.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889883|ref|WP_003793333.1|	acyltransferase [Actinomyces odontolyticus] 
gi|489889885|ref|WP_003793335.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889887|ref|WP_003793337.1|	nucleoside-diphosphate sugar epimerase [Actinomyces odontolyticus] 
gi|489889889|ref|WP_003793339.1|	glycosyltransferase family 2 [Actinomyces odontolyticus] 
gi|489889891|ref|WP_003793341.1|	glycosyltransferase family 1 [Actinomyces odontolyticus] 
gi|489889893|ref|WP_003793343.1|	glycosyl transferase family 1 [Actinomyces odontolyticus] 
gi|489889894|ref|WP_003793344.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889896|ref|WP_003793346.1|	MarR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889898|ref|WP_003793348.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889900|ref|WP_003793350.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889902|ref|WP_003793352.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889903|ref|WP_003793353.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889906|ref|WP_003793356.1|	glycosyl transferase family 1 [Actinomyces odontolyticus] 
gi|489889907|ref|WP_003793357.1|	major facilitator transporter [Actinomyces odontolyticus] 
gi|489889909|ref|WP_003793359.1|	methylmalonate-semialdehyde dehydrogenase [Actinomyces odontolyticus] 
gi|489889911|ref|WP_003793361.1|	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase [Actinomyces odontolyticus] 
gi|489889913|ref|WP_003793363.1|	5-deoxyglucuronate isomerase [Actinomyces odontolyticus] 
gi|489889915|ref|WP_003793365.1|	sugar kinase [Actinomyces odontolyticus] 
gi|489889916|ref|WP_003793366.1|	GntR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889919|ref|WP_003793369.1|	transaldolase [Actinomyces odontolyticus] 
gi|489889922|ref|WP_003793372.1|	inositol 2-dehydrogenase [Actinomyces odontolyticus] 
gi|489889925|ref|WP_003793375.1|	inosose dehydratase [Actinomyces odontolyticus] 
gi|489889927|ref|WP_003793377.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889929|ref|WP_003793379.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889931|ref|WP_003793381.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889933|ref|WP_003793383.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489889935|ref|WP_003793385.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489889937|ref|WP_003793387.1|	ABC transporter substrate-binding protein [Actinomyces odontolyticus] 
gi|489889938|ref|WP_003793388.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889940|ref|WP_003793390.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889941|ref|WP_003793391.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889945|ref|WP_003793395.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889946|ref|WP_003793396.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889949|ref|WP_003793399.1|	DNA helicase [Actinomyces odontolyticus] 
gi|489889952|ref|WP_003793402.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489889954|ref|WP_003793404.1|	CAAX amino terminal protease [Actinomyces odontolyticus] 
gi|489889955|ref|WP_003793405.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889957|ref|WP_003793407.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489889960|ref|WP_003793410.1|	GntR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489889962|ref|WP_003793412.1|	glycogen phosphorylase [Actinomyces odontolyticus] 
gi|489889964|ref|WP_003793414.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889966|ref|WP_003793416.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889967|ref|WP_003793417.1|	peptidase [Actinomyces odontolyticus] 
gi|489889969|ref|WP_003793419.1|	antibiotic resistance protein MarC [Actinomyces odontolyticus] 
gi|489889970|ref|WP_003793420.1|	metal-dependent phosphoesterase [Actinomyces odontolyticus] 
gi|489889972|ref|WP_003793422.1|	L-asparagine permease [Actinomyces odontolyticus] 
gi|489889975|ref|WP_003793425.1|	asparaginase [Actinomyces odontolyticus] 
gi|489889978|ref|WP_003793428.1|	Xaa-Pro aminopeptidase [Actinomyces odontolyticus] 
gi|489889980|ref|WP_003793430.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889983|ref|WP_003793433.1|	magnesium transporter [Actinomyces odontolyticus] 
gi|489889987|ref|WP_003793437.1|	membrane protein [Actinomyces odontolyticus] 
gi|489889989|ref|WP_003793439.1|	sodium:proton antiporter [Actinomyces odontolyticus] 
gi|489889991|ref|WP_003793441.1|	O-methyltransferase [Actinomyces odontolyticus] 
gi|489889993|ref|WP_003793443.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889995|ref|WP_003793445.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489889996|ref|WP_003793446.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489889998|ref|WP_003793448.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890001|ref|WP_003793451.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890003|ref|WP_003793453.1|	mannose-1-phosphate guanylyltransferase [Actinomyces odontolyticus] 
gi|489890004|ref|WP_003793454.1|	50S ribosomal protein L25 [Actinomyces odontolyticus] 
gi|489890007|ref|WP_003793457.1|	ribose-phosphate pyrophosphokinase [Actinomyces odontolyticus] 
gi|489890008|ref|WP_003793458.1|	UDP-N-acetylglucosamine diphosphorylase [Actinomyces odontolyticus] 
gi|489890010|ref|WP_003793460.1|	TetR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489890012|ref|WP_003793462.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890014|ref|WP_003793464.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890016|ref|WP_003793466.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890018|ref|WP_003793468.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890020|ref|WP_003793470.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890022|ref|WP_003793472.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890024|ref|WP_003793474.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890026|ref|WP_003793476.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890028|ref|WP_003793478.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890030|ref|WP_003793480.1|	ABC transporter ATPase [Actinomyces odontolyticus] 
gi|489890032|ref|WP_003793482.1|	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Actinomyces odontolyticus] 
gi|489890034|ref|WP_003793484.1|	16S rRNA methyltransferase [Actinomyces odontolyticus] 
gi|489890036|ref|WP_003793486.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890038|ref|WP_003793488.1|	lytic transglycosylase [Actinomyces odontolyticus] 
gi|489890039|ref|WP_003793489.1|	transglycosylase [Actinomyces odontolyticus] 
gi|489890042|ref|WP_003793492.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890044|ref|WP_003793494.1|	glutamine amidotransferase [Actinomyces odontolyticus] 
gi|489890046|ref|WP_003793496.1|	ABC transporter permease [Actinomyces odontolyticus] 
gi|489890048|ref|WP_003793498.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489890050|ref|WP_003793500.1|	transporter [Actinomyces odontolyticus] 
gi|489890053|ref|WP_003793503.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890055|ref|WP_003793505.1|	DNA-binding protein [Actinomyces odontolyticus] 
gi|489890056|ref|WP_003793506.1|	membrane protein [Actinomyces odontolyticus] 
gi|489890058|ref|WP_003793508.1|	antitoxin PHD [Actinomyces odontolyticus] 
gi|489890060|ref|WP_003793510.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890062|ref|WP_003793512.1|	nitroreductase [Actinomyces odontolyticus] 
gi|489890064|ref|WP_003793514.1|	transglycosylase [Actinomyces odontolyticus] 
gi|489890066|ref|WP_003793516.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890068|ref|WP_003793518.1|	membrane protein [Actinomyces odontolyticus] 
gi|489890069|ref|WP_003793519.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890072|ref|WP_003793522.1|	benzoate transporter [Actinomyces odontolyticus] 
gi|489890074|ref|WP_003793524.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890075|ref|WP_003793525.1|	RNA polymerase sigma 70 [Actinomyces odontolyticus] 
gi|489890077|ref|WP_003793527.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890079|ref|WP_003793529.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890082|ref|WP_003793532.1|	amino acid lyase [Actinomyces odontolyticus] 
gi|489890085|ref|WP_003793535.1|	SAM-dependent methyltransferase [Actinomyces odontolyticus] 
gi|489890087|ref|WP_003793537.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890089|ref|WP_003793539.1|	uracil DNA glycosylase [Actinomyces odontolyticus] 
gi|489890091|ref|WP_003793541.1|	esterase [Actinomyces odontolyticus] 
gi|489890092|ref|WP_003793542.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890094|ref|WP_003793544.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489890096|ref|WP_003793546.1|	ABC transporter [Actinomyces odontolyticus] 
gi|489890098|ref|WP_003793548.1|	TetR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489890099|ref|WP_003793549.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890101|ref|WP_003793551.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489890102|ref|WP_003793552.1|	GNAT family acetyltransferase [Actinomyces odontolyticus] 
gi|489890104|ref|WP_003793554.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890106|ref|WP_003793556.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890108|ref|WP_003793558.1|	ATPase AAA [Actinomyces odontolyticus] 
gi|489890109|ref|WP_003793559.1|	RADC [Actinomyces odontolyticus] 
gi|489890111|ref|WP_003793561.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890114|ref|WP_003793564.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890116|ref|WP_003793566.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890118|ref|WP_003793568.1|	MFS transporter [Actinomyces odontolyticus] 
gi|489890120|ref|WP_003793570.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890122|ref|WP_003793572.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890124|ref|WP_003793574.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890126|ref|WP_003793576.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890128|ref|WP_003793578.1|	membrane protein [Actinomyces odontolyticus] 
gi|489890131|ref|WP_003793581.1|	TetR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489890133|ref|WP_003793583.1|	oxidoreductase [Actinomyces odontolyticus] 
gi|489890134|ref|WP_003793584.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890136|ref|WP_003793586.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890139|ref|WP_003793589.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890141|ref|WP_003793591.1|	MULTISPECIES: prevent-host-death protein [Actinobacteria] 
gi|489890143|ref|WP_003793593.1|	GMP synthase [Actinomyces odontolyticus] 
gi|489890145|ref|WP_003793595.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890147|ref|WP_003793597.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890150|ref|WP_003793600.1|	membrane protein [Actinomyces odontolyticus] 
gi|489890151|ref|WP_003793601.1|	succinyl-CoA synthetase subunit alpha [Actinomyces odontolyticus] 
gi|489890153|ref|WP_003793603.1|	succinyl-CoA synthetase subunit beta [Actinomyces odontolyticus] 
gi|489890155|ref|WP_003793605.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890157|ref|WP_003793607.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890158|ref|WP_003793608.1|	LuxR family transcriptional regulator [Actinomyces odontolyticus] 
gi|489890161|ref|WP_003793611.1|	PspC family transcriptional regulator [Actinomyces odontolyticus] 
gi|489890162|ref|WP_003793612.1|	PspC family transcriptional regulator [Actinomyces odontolyticus] 
gi|489890164|ref|WP_003793614.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890167|ref|WP_003793617.1|	phosphoenolpyruvate-protein phosphotransferase [Actinomyces odontolyticus] 
gi|489890169|ref|WP_003793619.1|	phosphotransferase [Actinomyces odontolyticus] 
gi|489890171|ref|WP_003793621.1|	hypothetical protein [Actinomyces odontolyticus] 
gi|489890173|ref|WP_003793623.1|	PTS sucrose transporter subunit IIBC [Actinomyces odontolyticus] 
gi|489890175|ref|WP_003793625.1|	glycosyl hydrolase family 32 [Actinomyces odontolyticus] 
gi|489890177|ref|WP_003793627.1|	methionyl-tRNA synthetase [Actinomyces odontolyticus] 
gi|489890179|ref|WP_003793629.1|	hypothetical protein [Actinomyces odontolyticus] 
