gi|491494228|ref|WP_005351951.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497967|ref|WP_005355675.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497970|ref|WP_005355678.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497973|ref|WP_005355681.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497976|ref|WP_005355684.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497977|ref|WP_005355685.1|	multidrug transporter MatE [[Eubacterium] siraeum] 
gi|491497989|ref|WP_005355697.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497992|ref|WP_005355700.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491497998|ref|WP_005355706.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498002|ref|WP_005355710.1|	MULTISPECIES: citrate synthase [Clostridiales] 
gi|518492344|ref|WP_019662551.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498007|ref|WP_005355715.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498010|ref|WP_005355718.1|	PhoP family transcriptional regulator [[Eubacterium] siraeum] 
gi|518492346|ref|WP_019662553.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498020|ref|WP_005355728.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498039|ref|WP_005355746.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492347|ref|WP_019662554.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498042|ref|WP_005355749.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498044|ref|WP_005355751.1|	ribosomal protein S12 methylthiotransferase [[Eubacterium] siraeum] 
gi|491498045|ref|WP_005355752.1|	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase [[Eubacterium] siraeum] 
gi|491498047|ref|WP_005355754.1|	transporter [[Eubacterium] siraeum] 
gi|491498049|ref|WP_005355756.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498051|ref|WP_005355758.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498055|ref|WP_005355762.1|	N-acetylglucosamine-1-phosphate uridyltransferase [[Eubacterium] siraeum] 
gi|491498056|ref|WP_005355763.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498057|ref|WP_005355764.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498058|ref|WP_005355765.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498059|ref|WP_005355766.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498060|ref|WP_005355767.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498061|ref|WP_005355768.1|	MULTISPECIES: seryl-tRNA synthetase [Clostridiales] 
gi|491498062|ref|WP_005355769.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498063|ref|WP_005355770.1|	uracil-DNA glycosylase [[Eubacterium] siraeum] 
gi|491498076|ref|WP_005355783.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492348|ref|WP_019662555.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498078|ref|WP_005355785.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498079|ref|WP_005355786.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498080|ref|WP_005355787.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498083|ref|WP_005355790.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|547865487|ref|WP_022271918.1|	MULTISPECIES: aTP synthase F0 subcomplex C subunit [Clostridiales] 
gi|491498086|ref|WP_005355793.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498089|ref|WP_005355796.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498092|ref|WP_005355799.1|	F0F1 ATP synthase subunit alpha [[Eubacterium] siraeum] 
gi|491498102|ref|WP_005355809.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498104|ref|WP_005355811.1|	MULTISPECIES: F0F1 ATP synthase subunit beta [Clostridiales] 
gi|491498106|ref|WP_005355813.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498108|ref|WP_005355815.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498112|ref|WP_005355819.1|	Rrf2 family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498115|ref|WP_005355822.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498125|ref|WP_005355832.1|	MULTISPECIES: inosine 5'-monophosphate dehydrogenase [Clostridiales] 
gi|491498128|ref|WP_005355835.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498131|ref|WP_005355838.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498138|ref|WP_005355845.1|	cation transporter [[Eubacterium] siraeum] 
gi|491498140|ref|WP_005355847.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|518492352|ref|WP_019662559.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498147|ref|WP_005355854.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498149|ref|WP_005355856.1|	PTS glucose transporter subunit IIABC [[Eubacterium] siraeum] 
gi|491498151|ref|WP_005355858.1|	PTS fructose transporter subunit IIC [[Eubacterium] siraeum] 
gi|491498153|ref|WP_005355860.1|	1-phosphofructokinase [[Eubacterium] siraeum] 
gi|491498165|ref|WP_005355872.1|	DeoR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498166|ref|WP_005355873.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498167|ref|WP_005355874.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498169|ref|WP_005355876.1|	Appr-1-p processing protein [[Eubacterium] siraeum] 
gi|491498171|ref|WP_005355878.1|	L-glyceraldehyde 3-phosphate reductase [[Eubacterium] siraeum] 
gi|491498173|ref|WP_005355880.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492353|ref|WP_019662560.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494983|ref|WP_005352703.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494986|ref|WP_005352706.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494989|ref|WP_005352709.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494992|ref|WP_005352712.1|	N-acetyltransferase GCN5 [[Eubacterium] siraeum] 
gi|491494995|ref|WP_005352715.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495004|ref|WP_005352724.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491495005|ref|WP_005352725.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491495007|ref|WP_005352726.1|	stage 0 sporulation protein [[Eubacterium] siraeum] 
gi|518492358|ref|WP_019662565.1|	RNA-binding protein [[Eubacterium] siraeum] 
gi|491495935|ref|WP_005353651.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492359|ref|WP_019662566.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494952|ref|WP_005352672.1|	MULTISPECIES: 50S ribosomal protein L31 [Clostridiales] 
gi|491494951|ref|WP_005352671.1|	phosphoglucomutase [[Eubacterium] siraeum] 
gi|491494949|ref|WP_005352669.1|	Mg chelatase [[Eubacterium] siraeum] 
gi|491494945|ref|WP_005352665.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494944|ref|WP_005352664.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494942|ref|WP_005352662.1|	galactoside O-acetyltransferase [[Eubacterium] siraeum] 
gi|491494941|ref|WP_005352661.1|	carboxynorspermidine decarboxylase [[Eubacterium] siraeum] 
gi|491494939|ref|WP_005352659.1|	PTS sugar transporter subunit IIA [[Eubacterium] siraeum] 
gi|491494936|ref|WP_005352656.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494933|ref|WP_005352653.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494929|ref|WP_005352649.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491494926|ref|WP_005352646.1|	galactokinase [[Eubacterium] siraeum] 
gi|491494923|ref|WP_005352643.1|	GTPase HflX [[Eubacterium] siraeum] 
gi|491494922|ref|WP_005352642.1|	fumarate reductase [[Eubacterium] siraeum] 
gi|491494919|ref|WP_005352639.1|	nicotinate-nucleotide pyrophosphorylase [[Eubacterium] siraeum] 
gi|491494911|ref|WP_005352631.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655590|ref|WP_026347337.1|	50S ribosomal protein L7/L12 [[Eubacterium] siraeum] 
gi|491494903|ref|WP_005352623.1|	MULTISPECIES: 50S ribosomal protein L10 [Clostridiales] 
gi|491494895|ref|WP_005352615.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|547865133|ref|WP_022271593.1|	MULTISPECIES: rNA polymerase sigma factor sigma-70 family [Clostridiales] 
gi|491494966|ref|WP_005352686.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|648655591|ref|WP_026347338.1|	branched-chain amino acid ABC transporter permease [[Eubacterium] siraeum] 
gi|491494962|ref|WP_005352682.1|	ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491494960|ref|WP_005352680.1|	ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491494958|ref|WP_005352678.1|	xanthine phosphoribosyltransferase [[Eubacterium] siraeum] 
gi|491494955|ref|WP_005352675.1|	MULTISPECIES: FAD-dependent oxidoreductase [Clostridiales] 
gi|518492361|ref|WP_019662568.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499784|ref|WP_005357480.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499780|ref|WP_005357476.1|	multidrug transporter MatE [[Eubacterium] siraeum] 
gi|491499778|ref|WP_005357474.1|	DNA methylase N-4 [[Eubacterium] siraeum] 
gi|491499771|ref|WP_005357467.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499769|ref|WP_005357465.1|	type II restriction endonuclease [[Eubacterium] siraeum] 
gi|491499767|ref|WP_005357463.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499766|ref|WP_005357462.1|	DNA adenine methylase [[Eubacterium] siraeum] 
gi|491499759|ref|WP_005357455.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499757|ref|WP_005357453.1|	multidrug transporter MATE [[Eubacterium] siraeum] 
gi|491499748|ref|WP_005357444.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499746|ref|WP_005357442.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499744|ref|WP_005357440.1|	phosphoglycerate kinase [[Eubacterium] siraeum] 
gi|491499740|ref|WP_005357436.1|	triosephosphate isomerase [[Eubacterium] siraeum] 
gi|491499738|ref|WP_005357434.1|	MULTISPECIES: phosphoglyceromutase [Clostridiales] 
gi|491499734|ref|WP_005357430.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499732|ref|WP_005357428.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499730|ref|WP_005357426.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499722|ref|WP_005357418.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499719|ref|WP_005357415.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499718|ref|WP_005357414.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499717|ref|WP_005357413.1|	XRE family transcriptional regulator [[Eubacterium] siraeum] 
gi|505332338|ref|WP_015519440.1|	Putative translation initiation inhibitor yjgF family [[Eubacterium] siraeum] 
gi|491499713|ref|WP_005357409.1|	DNA polymerase IV [[Eubacterium] siraeum] 
gi|518492365|ref|WP_019662572.1|	saccharopine dehydrogenase [[Eubacterium] siraeum] 
gi|491499710|ref|WP_005357406.1|	alpha-amylase [[Eubacterium] siraeum] 
gi|491499708|ref|WP_005357404.1|	alpha-glucan phosphorylase [[Eubacterium] siraeum] 
gi|491499707|ref|WP_005357403.1|	potassium transporter TrkA [[Eubacterium] siraeum] 
gi|491499706|ref|WP_005357402.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491499705|ref|WP_005357401.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499704|ref|WP_005357400.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499703|ref|WP_005357399.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491499701|ref|WP_005357397.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|648655592|ref|WP_026347339.1|	RNA methyltransferase [[Eubacterium] siraeum] 
gi|491499693|ref|WP_005357389.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499691|ref|WP_005357387.1|	pyruvate phosphate dikinase [[Eubacterium] siraeum] 
gi|491499690|ref|WP_005357386.1|	UDP-galactopyranose mutase [[Eubacterium] siraeum] 
gi|491499688|ref|WP_005357384.1|	MULTISPECIES: shikimate kinase [Clostridiales] 
gi|491499686|ref|WP_005357382.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499685|ref|WP_005357381.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499683|ref|WP_005357379.1|	peptidyl-tRNA hydrolase [[Eubacterium] siraeum] 
gi|491499681|ref|WP_005357377.1|	4-alpha-glucanotransferase [[Eubacterium] siraeum] 
gi|491499679|ref|WP_005357375.1|	sialate O-acetylesterase [[Eubacterium] siraeum] 
gi|491499676|ref|WP_005357372.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499675|ref|WP_005357371.1|	thymidylate synthase [[Eubacterium] siraeum] 
gi|491499674|ref|WP_005357370.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491499672|ref|WP_005357368.1|	MULTISPECIES: aspartate kinase [Clostridiales] 
gi|648655593|ref|WP_026347340.1|	hypothetical protein partial [[Eubacterium] siraeum] 
gi|491498442|ref|WP_005356147.1|	heme ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491498446|ref|WP_005356151.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498449|ref|WP_005356154.1|	twitching motility protein PilT [[Eubacterium] siraeum] 
gi|491498452|ref|WP_005356157.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498455|ref|WP_005356160.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492371|ref|WP_019662578.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498462|ref|WP_005356167.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|518492372|ref|WP_019662579.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498466|ref|WP_005356171.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498468|ref|WP_005356173.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498471|ref|WP_005356176.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498472|ref|WP_005356177.1|	dimethyladenosine transferase [[Eubacterium] siraeum] 
gi|491498474|ref|WP_005356179.1|	DNA repair protein RadA [[Eubacterium] siraeum] 
gi|491498476|ref|WP_005356181.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492374|ref|WP_019662581.1|	ABC transporter substrate-binding protein [[Eubacterium] siraeum] 
gi|491498482|ref|WP_005356186.1|	ABC transporter permease [[Eubacterium] siraeum] 
gi|491498487|ref|WP_005356191.1|	sugar ABC transporter permease [[Eubacterium] siraeum] 
gi|491498488|ref|WP_005356192.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498489|ref|WP_005356193.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498491|ref|WP_005356195.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498493|ref|WP_005356197.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498495|ref|WP_005356199.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498497|ref|WP_005356201.1|	MULTISPECIES: hypothetical protein [Clostridiales] 
gi|491498499|ref|WP_005356203.1|	glycyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|518492376|ref|WP_019662583.1|	branched-chain amino acid aminotransferase [[Eubacterium] siraeum] 
gi|491498503|ref|WP_005356207.1|	MULTISPECIES: alpha/beta hydrolase [Clostridiales] 
gi|491498506|ref|WP_005356210.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498507|ref|WP_005356211.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498508|ref|WP_005356212.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655594|ref|WP_026347341.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498510|ref|WP_005356214.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498512|ref|WP_005356216.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498513|ref|WP_005356217.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498514|ref|WP_005356218.1|	AraC family transcriptional regulator [[Eubacterium] siraeum] 
gi|518492379|ref|WP_019662586.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|648655595|ref|WP_026347342.1|	polar amino acid ABC transporter permease [[Eubacterium] siraeum] 
gi|491498518|ref|WP_005356222.1|	arginine ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491498519|ref|WP_005356223.1|	MULTISPECIES: glycosyl transferase family 1 [Clostridiales] 
gi|491498520|ref|WP_005356224.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498521|ref|WP_005356225.1|	MULTISPECIES: cytidine deaminase [Clostridiales] 
gi|491498522|ref|WP_005356226.1|	Na/Pi cotransporter [[Eubacterium] siraeum] 
gi|491498523|ref|WP_005356227.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498524|ref|WP_005356228.1|	response regulator receiver [[Eubacterium] siraeum] 
gi|518492381|ref|WP_019662588.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498528|ref|WP_005356232.1|	aspartate aminotransferase [[Eubacterium] siraeum] 
gi|491498532|ref|WP_005356236.1|	XRE family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498533|ref|WP_005356237.1|	toxin RelE [[Eubacterium] siraeum] 
gi|491498535|ref|WP_005356239.1|	2-hydroxyglutaryl-CoA dehydratase [[Eubacterium] siraeum] 
gi|491498537|ref|WP_005356241.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498539|ref|WP_005356243.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492382|ref|WP_019662589.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498551|ref|WP_005356255.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498555|ref|WP_005356259.1|	HrcA family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498558|ref|WP_005356262.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498562|ref|WP_005356266.1|	molecular chaperone DnaK [[Eubacterium] siraeum] 
gi|491498565|ref|WP_005356269.1|	MULTISPECIES: molecular chaperone DnaJ [Clostridiales] 
gi|491498567|ref|WP_005356271.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498570|ref|WP_005356274.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498572|ref|WP_005356276.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498573|ref|WP_005356277.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498578|ref|WP_005356282.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498583|ref|WP_005356287.1|	exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase [[Eubacterium] siraeum] 
gi|491498584|ref|WP_005356288.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|505330776|ref|WP_015517878.1|	glutamate 5-kinase [[Eubacterium] siraeum] 
gi|491498586|ref|WP_005356290.1|	gamma-glutamyl phosphate reductase [[Eubacterium] siraeum] 
gi|491498587|ref|WP_005356291.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498588|ref|WP_005356292.1|	sodium:solute symporter [[Eubacterium] siraeum] 
gi|491498589|ref|WP_005356293.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498601|ref|WP_005356305.1|	iron transporter FeoB [[Eubacterium] siraeum] 
gi|491498608|ref|WP_005356312.1|	MULTISPECIES: iron transporter FeoA [Clostridiales] 
gi|491498609|ref|WP_005356313.1|	MULTISPECIES: iron transporter FeoA [Clostridiales] 
gi|505330783|ref|WP_015517885.1|	Predicted glycosylase [[Eubacterium] siraeum] 
gi|491498615|ref|WP_005356319.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492385|ref|WP_019662592.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|518492386|ref|WP_019662593.1|	phosphate binding protein [[Eubacterium] siraeum] 
gi|648655596|ref|WP_026347343.1|	phosphate ABC transporter permease [[Eubacterium] siraeum] 
gi|491498629|ref|WP_005356332.1|	phosphate ABC transporter permease [[Eubacterium] siraeum] 
gi|491498631|ref|WP_005356334.1|	phosphate ABC transporter ATP-binding protein [[Eubacterium] siraeum] 
gi|491498633|ref|WP_005356336.1|	MULTISPECIES: PhoU family transcriptional regulator [Clostridiales] 
gi|491498635|ref|WP_005356338.1|	ArsR family transcriptional regulator [[Eubacterium] siraeum] 
gi|491498638|ref|WP_005356341.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|505330791|ref|WP_015517893.1|	MULTISPECIES: serine O-acetyltransferase [Clostridiales] 
gi|491498642|ref|WP_005356345.1|	cysteinyl-tRNA synthetase [[Eubacterium] siraeum] 
gi|491498649|ref|WP_005356352.1|	hypothetical protein [[Eubacterium] siraeum] 
gi|491498653|ref|WP_005356356.1|	hypothetical protein [[Eubacterium] siraeum] 
